"108年07月23日每日收盤行情(水泥工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1101","台泥","12,969,865","5,268","582,908,169","45.00","45.10","44.75","45.05","+","0.15","45.00","529","45.05","53","10.78",
"1101B","台泥乙特","3,109","5","162,778","52.30","52.40","52.30","52.40"," ","0.00","52.20","3","52.40","8","",
"1102","亞泥","19,007,469","6,006","887,057,870","46.80","46.85","46.05","46.80","+","0.45","46.75","4","46.80","115","12.96",
"1103","嘉泥","514,041","193","8,582,179","16.75","16.75","16.65","16.70","-","0.05","16.70","10","16.75","52","15.90",
"1104","環泥","165,004","135","3,143,976","19.05","19.10","19.05","19.05"," ","0.00","19.00","121","19.05","20","10.30",
"1108","幸福","128,002","54","881,563","6.90","6.91","6.87","6.88","-","0.03","6.87","20","6.88","9","",
"1109","信大","750,878","293","13,334,934","18.05","18.05","17.60","17.75","-","0.30","17.75","51","17.80","35","7.19",
"1110","東泥","11,300","8","188,980","16.70","16.75","16.70","16.70"," ","0.00","16.70","63","16.75","60","119.29",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

