"108年12月13日每日收盤行情(食品工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1201","味全","888,308","567","21,611,767","24.30","24.50","24.25","24.25"," ","0.00","24.25","202","24.30","5","9.78",
"1203","味王","71,267","43","1,919,364","26.85","27.00","26.85","26.95","-","0.05","26.95","1","27.00","17","14.65",
"1210","大成","3,307,635","2,065","138,125,775","42.10","42.40","41.25","41.30","-","0.65","41.30","4","41.40","3","14.24",
"1213","大飲","20,301","9","121,812","6.00","6.00","6.00","6.00"," ","0.00","6.01","2","6.11","1","",
"1215","卜蜂","837,796","459","55,287,713","65.50","66.30","65.50","66.00","+","0.20","66.00","40","66.10","27","14.10",
"1216","統一","10,904,520","3,795","794,700,820","72.60","73.20","72.50","72.50"," ","0.00","72.50","624","72.60","10","21.90",
"1217","愛之味","577,686","265","4,071,011","7.07","7.08","7.02","7.05"," ","0.00","7.04","50","7.05","7","44.06",
"1218","泰山","755,456","266","16,843,879","22.55","22.60","22.00","22.05","-","0.50","22.05","22","22.10","10","19.69",
"1219","福壽","10,464","15","188,504","18.15","18.15","18.00","18.00"," ","0.00","17.95","3","18.00","3","66.67",
"1220","台榮","88,001","34","932,110","10.60","10.65","10.55","10.60"," ","0.00","10.55","26","10.65","27","18.93",
"1225","福懋油","180,024","115","6,275,321","34.95","35.35","34.70","34.85"," ","0.00","34.70","1","34.85","8","23.39",
"1227","佳格","4,728,573","2,927","331,074,694","69.00","70.60","68.70","70.50","+","2.30","70.40","1","70.50","110","19.92",
"1229","聯華","4,704,751","726","168,736,603","35.85","36.00","35.80","35.90","+","0.05","35.85","26","35.90","73","13.81",
"1231","聯華食","167,029","154","6,930,195","41.50","41.60","41.40","41.40","-","0.10","41.40","9","41.45","1","15.00",
"1232","大統益","133,850","164","16,208,700","121.50","121.50","120.50","121.00","-","1.00","121.00","29","121.50","22","18.91",
"1233","天仁","11,472","13","440,432","38.40","38.45","38.35","38.45","-","0.10","38.40","3","38.45","1","22.10",
"1234","黑松","120,507","63","3,896,725","32.35","32.40","32.25","32.35","-","0.10","32.30","20","32.45","3","16.09",
"1235","興泰","71,450","43","1,537,697","21.60","21.65","21.45","21.45"," ","0.00","21.45","1","21.55","3","357.50",
"1236","宏亞","103,430","24","1,334,713","12.90","12.95","12.90","12.95","+","0.05","12.90","2","12.95","15","80.94",
"1256","鮮活果汁-KY","48,098","84","10,435,310","216.50","218.50","216.50","217.00","+","0.50","217.00","2","217.50","3","14.11",
"1702","南僑","288,050","189","14,465,355","50.50","50.50","50.10","50.10","-","0.30","50.10","27","50.20","2","12.95",
"1737","臺鹽","199,051","143","6,405,532","32.20","32.30","32.05","32.05","-","0.15","32.05","5","32.10","1","19.08",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

