"108年11月26日每日收盤行情(塑膠工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1301","台塑","19,827,607","4,001","1,942,258,286","97.00","98.50","96.80","98.00","+","1.00","98.00","628","98.10","28","17.10",
"1303","南亞","20,432,694","4,260","1,466,625,261","71.90","72.50","71.60","71.60","-","0.10","71.60","514","71.70","32","24.44",
"1304","台聚","1,974,310","454","26,671,614","13.35","13.60","13.35","13.50","+","0.15","13.50","20","13.55","4","16.07",
"1305","華夏","1,515,322","502","32,544,218","21.30","21.65","21.10","21.65","+","0.45","21.55","42","21.65","92","22.09",
"1307","三芳","32,834","34","792,705","24.15","24.20","24.15","24.20","+","0.05","24.15","8","24.20","9","23.50",
"1308","亞聚","260,010","141","4,058,600","15.65","15.70","15.55","15.60","+","0.05","15.60","16","15.65","4","15.15",
"1309","台達化","851,917","215","9,213,555","10.85","10.90","10.75","10.80"," ","0.00","10.80","46","10.85","137","25.71",
"1310","台苯","1,972,774","825","42,349,775","21.45","21.65","21.30","21.65","+","0.20","21.60","80","21.65","137","12.66",
"1312","國喬","2,163,800","780","39,906,649","18.50","18.50","18.35","18.50","+","0.10","18.45","5","18.50","88","8.53",
"1312A","國喬特","4,000","4","136,900","34.05","34.40","34.05","34.40","+","0.05","34.00","5","34.40","3","",
"1313","聯成","1,040,567","402","11,170,151","10.70","10.80","10.65","10.80","+","0.10","10.75","6","10.80","87","",
"1314","中石化","9,321,392","2,692","89,909,154","9.73","9.73","9.61","9.61","-","0.12","9.61","867","9.65","18","18.84",
"1315","達新","248,619","170","11,209,862","45.15","45.25","45.00","45.00","-","0.15","45.00","31","45.05","20","12.26",
"1321","大洋","462,200","207","16,598,100","36.20","36.40","35.60","36.00","-","0.20","35.90","3","36.00","3","240.00",
"1323","永裕","138,853","71","4,709,402","34.00","34.10","33.85","33.95","-","0.05","33.90","15","33.95","2","10.38",
"1324","地球","8,001","5","79,029","9.76","9.92","9.76","9.92","+","0.16","9.92","1","9.93","3","",
"1325","恆大","31,150","12","486,482","15.65","15.65","15.60","15.60","-","0.05","15.55","4","15.60","2","31.20",
"1326","台化","13,686,778","2,553","1,207,375,063","88.00","88.80","87.80","88.10","+","0.30","88.10","166","88.20","133","17.87",
"1337","再生-KY","221,998","104","1,292,050","5.84","5.84","5.79","5.84"," ","0.00","5.81","3","5.84","1","",
"1340","勝悅-KY","153,520","82","2,363,853","15.35","15.45","15.35","15.40"," ","0.00","15.35","6","15.40","9","",
"1341","富林-KY","4,000","4","246,800","61.90","61.90","61.50","61.50","-","0.50","61.30","1","61.80","1","11.28",
"4306","炎洲","972,471","353","11,800,470","12.05","12.20","12.05","12.10","+","0.05","12.10","11","12.15","81","28.14",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

