"108年07月18日每日收盤行情(紡織纖維)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1402","遠東新","11,345,877","3,631","385,394,456","34.10","34.10","33.90","33.90","-","0.20","33.85","448","33.90","72","15.69",
"1409","新纖","2,515,367","1,059","33,450,153","13.40","13.40","13.20","13.30","-","0.10","13.25","72","13.30","57","8.36",
"1410","南染","38,800","13","1,034,560","26.70","26.75","26.45","26.65","-","0.05","26.50","1","26.65","6","19.17",
"1413","宏洲","159,000","52","1,918,250","12.10","12.15","12.00","12.15","+","0.10","12.05","6","12.10","3","7.02",
"1414","東和","287,624","75","1,971,476","6.91","6.91","6.82","6.85","X","0.00","6.85","32","6.87","6","68.50",
"1416","廣豐","83,504","43","1,318,112","15.85","15.85","15.70","15.75","-","0.10","15.70","5","15.75","13","15.91",
"1417","嘉裕","409,900","92","2,533,997","6.18","6.20","6.17","6.18","-","0.01","6.17","20","6.18","12","",
"1418","東華","1,102","3","8,270","7.51","7.51","7.51","7.51","X","0.00","7.53","2","7.85","1","",
"1419","新紡","6,215","8","258,557","41.80","41.80","41.40","41.40","-","0.55","41.45","2","41.70","1","36.96",
"1423","利華","39,800","10","406,419","10.25","10.25","10.20","10.20","+","0.05","10.15","41","10.25","42","14.78",
"1434","福懋","1,246,299","559","45,375,825","36.50","36.70","36.20","36.45","-","0.05","36.40","3","36.45","36","12.57",
"1439","中和","112,000","79","3,490,300","31.10","31.30","31.05","31.20","-","0.20","31.20","1","31.25","7","",
"1440","南紡","297,788","177","3,690,377","12.45","12.45","12.35","12.35","-","0.05","12.35","293","12.40","30","22.05",
"1441","大東","345,083","130","4,759,828","13.80","14.10","13.65","14.10","+","0.30","14.05","1","14.10","5","1.21",
"1443","立益","96,089","25","806,447","8.38","8.42","8.35","8.40","+","0.02","8.38","2","8.42","10","",
"1444","力麗","905,213","401","8,658,113","9.59","9.59","9.55","9.55","-","0.04","9.55","68","9.56","5","17.69",
"1445","大宇","26,001","15","194,467","7.54","7.54","7.43","7.50","-","0.05","7.47","3","7.50","3","",
"1446","宏和","58,180","50","1,798,907","31.15","31.15","30.85","30.85","-","0.35","30.85","11","30.90","2","",
"1447","力鵬","320,974","128","2,340,449","7.30","7.34","7.27","7.30"," ","0.00","7.30","11","7.33","19","19.73",
"1449","佳和","27,076","13","134,632","5.00","5.00","4.93","4.98","-","0.01","4.93","5","4.98","1","20.75",
"1451","年興","114,200","107","2,995,277","26.30","26.30","26.15","26.20","-","0.20","26.20","1","26.25","15","10.56",
"1452","宏益","276,644","132","5,283,550","19.25","19.30","19.00","19.00","-","0.30","19.00","89","19.15","5","12.93",
"1453","大將","25,600","14","230,852","9.05","9.05","9.00","9.02","-","0.01","9.01","1","9.04","2","",
"1454","台富","17,250","6","137,291","7.97","7.99","7.95","7.99"," ","0.00","7.94","2","7.98","18","36.32",
"1455","集盛","1,732,517","537","15,811,927","9.13","9.16","9.09","9.16","+","0.01","9.15","2","9.16","16","",
"1456","怡華","17,000","8","150,060","8.86","8.86","8.81","8.81","-","0.04","8.79","1","8.96","2","58.73",
"1457","宜進","656,880","218","9,130,944","14.00","14.00","13.85","13.90","-","0.10","13.85","59","13.90","5","8.53",
"1459","聯發","30,989","27","246,011","7.99","7.99","7.88","7.88","-","0.06","7.87","8","7.93","6","",
"1460","宏遠","412,663","179","4,760,488","11.55","11.60","11.50","11.60","+","0.05","11.55","24","11.60","141","42.96",
"1463","強盛","294,346","169","4,218,132","14.45","14.50","14.25","14.40","-","0.05","14.35","10","14.40","15","11.52",
"1464","得力","261,478","143","6,304,518","24.05","24.25","24.00","24.05","-","0.05","24.05","83","24.10","11","24.05",
"1465","偉全","6,960","7","104,400","15.00","15.00","15.00","15.00","-","0.10","15.00","4","15.05","1","4.03",
"1466","聚隆","27,230","12","235,227","8.63","8.67","8.63","8.63"," ","0.00","8.62","4","8.63","6","",
"1467","南緯","507,199","222","4,833,823","9.56","9.60","9.39","9.53","+","0.03","9.53","5","9.54","10","41.43",
"1468","昶和","21,000","15","214,350","10.15","10.30","10.10","10.25","-","0.10","10.10","2","10.25","2","22.78",
"1470","大統新創","3,004","5","66,688","22.95","22.95","21.65","22.00","-","1.00","21.65","1","22.60","1","30.14",
"1472","三洋紡","50,399","23","1,682,865","33.30","33.50","33.30","33.50","+","0.30","33.10","8","33.50","9","",
"1473","台南","335,450","209","9,327,326","27.50","28.15","27.45","28.10","+","0.60","27.95","3","28.10","6","18.01",
"1474","弘裕","28,103","20","280,460","9.99","9.99","9.96","9.99"," ","0.00","9.97","23","9.99","13","17.84",
"1475","本盟","4,000","3","22,130","5.52","5.57","5.52","5.57","+","0.05","5.57","2","5.78","1","",
"1476","儒鴻","292,623","272","119,110,370","403.50","410.00","403.50","404.00","-","3.00","404.00","13","405.00","1","25.25",
"1477","聚陽","1,041,125","873","218,760,810","209.00","211.00","208.00","210.50","+","2.50","210.00","39","210.50","20","26.35",
"4414","如興","836,062","274","11,929,280","14.40","14.45","14.20","14.25","-","0.10","14.20","34","14.25","3","",
"4426","利勤","572,128","494","34,876,353","61.10","61.70","60.50","60.50","-","0.40","60.50","13","60.60","3","27.50",
"4438","廣越","124,000","84","19,584,000","159.00","159.00","157.00","157.00","-","2.00","157.00","12","158.00","14","19.29",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

