"108年04月25日每日收盤行情(電機機械)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1503","士電","63,999","53","2,687,653","42.10","42.10","41.95","42.00","-","0.10","41.95","2","42.00","12","15.44",
"1504","東元","1,477,869","886","33,528,785","22.70","22.80","22.60","22.70"," ","0.00","22.70","2","22.75","49","14.28",
"1506","正道","881,363","147","16,827,081","18.70","20.40","18.50","20.30","+","1.50","19.80","15","20.30","1","",
"1507","永大","53,535","55","3,238,000","60.80","60.80","60.10","60.50","-","0.50","60.30","2","60.50","2","36.67",
"1513","中興電","411,478","218","8,627,059","21.05","21.05","20.90","20.95","-","0.05","20.95","18","21.00","95","15.75",
"1514","亞力","2,614,987","964","40,662,744","15.30","15.70","15.25","15.55","+","0.15","15.55","40","15.60","18","14.27",
"1515","力山","2,351,483","1,743","189,029,740","78.50","81.90","78.20","80.20","+","1.40","80.10","35","80.20","7","36.45",
"1517","利奇","161,762","87","1,616,440","10.10","10.10","9.98","9.99","-","0.01","9.98","11","10.00","21","24.37",
"1519","華城","479,059","233","10,094,100","21.30","21.35","20.95","21.30","+","0.10","21.25","7","21.30","3","92.61",
"1526","日馳","623,750","398","22,183,146","35.90","36.15","35.15","35.20","-","0.35","35.20","17","35.25","1","15.51",
"1527","鑽全","641,880","509","37,092,181","57.80","58.10","57.50","57.50","-","0.20","57.50","115","57.60","1","7.69",
"1528","恩德","50,002","28","499,650","10.05","10.05","9.98","10.00"," ","0.00","9.99","11","10.00","11","47.62",
"1529","樂士","2,199","5","30,775","14.05","14.05","14.05","14.05","+","0.10","14.05","1","14.55","1","19.79",
"1530","亞崴","41,124","20","1,326,368","32.30","32.45","32.15","32.15","-","0.25","32.10","2","32.30","1","9.32",
"1531","高林股","272,407","107","4,588,786","17.00","17.00","16.70","16.80","-","0.25","16.80","15","16.85","4","24.71",
"1532","勤美","1,114,327","738","41,375,346","37.20","37.30","37.05","37.10","-","0.10","37.05","121","37.10","2","7.79",
"1535","中宇","1,928,672","1,251","67,238,016","33.80","35.80","33.50","34.90","+","2.10","34.90","24","35.00","1","44.18",
"1537","廣隆","127,216","133","20,812,208","165.00","165.00","163.00","163.00","-","1.00","163.00","16","164.00","10","13.56",
"1538","正峰新","54,247","18","270,875","4.98","5.00","4.96","5.00","+","0.02","4.99","5","5.00","4","",
"1539","巨庭","103,000","65","2,542,900","24.80","24.80","24.60","24.60","-","0.15","24.60","17","24.65","5","4.85",
"1540","喬福","655,955","290","12,874,020","19.60","19.80","19.45","19.75","+","0.20","19.70","3","19.75","21","12.42",
"1541","錩泰","26,000","26","755,600","29.10","29.10","29.00","29.05","-","0.15","29.00","10","29.15","1","29.05",
"1558","伸興","63,001","54","9,464,155","150.00","150.50","150.00","150.50"," ","0.00","150.00","34","150.50","7","9.86",
