"108年02月27日每日收盤行情(電器電纜)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1603","華電","73,673","45","1,560,933","21.20","21.20","21.15","21.15","-","0.05","21.10","16","21.15","7","21.80",
"1604","聲寶","396,630","225","5,775,755","14.65","14.65","14.50","14.55","-","0.15","14.50","114","14.55","17","9.77",
"1605","華新","50,762,779","14,573","921,591,799","18.40","18.45","18.00","18.15","-","0.35","18.15","1,231","18.20","375","5.14",
"1608","華榮","823,787","313","8,049,818","9.88","9.91","9.70","9.75","-","0.13","9.74","7","9.75","9","",
"1609","大亞","1,231,935","433","13,532,060","11.00","11.05","10.95","11.00","-","0.05","11.00","9","11.05","118","12.50",
"1611","中電","410,012","186","3,874,338","9.42","9.47","9.40","9.47","+","0.10","9.45","12","9.47","7","5.26",
"1612","宏泰","101,139","45","1,008,750","10.00","10.00","9.95","9.99"," ","0.00","9.99","89","10.00","18","20.81",
"1614","三洋電","31,000","16","725,750","23.40","23.50","23.40","23.40","+","0.10","23.30","13","23.40","1","26.90",
"1615","大山","54,000","38","922,300","17.15","17.15","17.05","17.10","-","0.05","17.05","2","17.10","8","9.77",
"1616","億泰","118,500","32","547,949","4.67","4.67","4.61","4.62","-","0.06","4.61","12","4.62","2","",
"1617","榮星","42,000","15","573,900","13.70","13.75","13.60","13.65"," ","0.00","13.60","1","13.65","1","10.34",
"1618","合機","247,000","51","2,190,280","8.90","8.92","8.81","8.88","+","0.04","8.82","1","8.88","1","24.00",
"1626","艾美特-KY","1,011,349","398","20,861,924","20.50","20.70","20.15","20.70","+","1.85","20.70","73","--","0","",
"4930","燦星網","183,372","96","2,203,376","11.70","12.20","11.70","12.00","+","0.30","11.95","12","12.00","1","",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

