"108年04月23日每日收盤行情(化學生技醫療)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1598","岱宇","230,000","130","8,312,250","36.20","36.20","36.05","36.15"," ","0.00","36.10","31","36.15","8","30.12",
"1701","中化","272,698","93","5,147,189","18.95","18.95","18.80","18.90","-","0.05","18.85","13","18.90","78","15.24",
"1707","葡萄王","405,218","358","83,205,126","201.50","207.00","201.50","207.00","+","5.50","206.50","5","207.00","58","21.70",
"1708","東鹼","74,014","48","1,935,611","26.30","26.30","26.10","26.10","-","0.10","26.10","7","26.20","13","15.00",
"1709","和益","141,150","81","1,988,668","14.15","14.15","14.05","14.15"," ","0.00","14.10","8","14.15","30","18.62",
"1710","東聯","1,122,151","501","29,337,041","26.15","26.30","26.05","26.15","+","0.05","26.10","8","26.15","15","13.01",
"1711","永光","223,753","138","3,779,119","17.00","17.00","16.85","16.95","-","0.05","16.90","13","16.95","10","23.22",
"1712","興農","1,868,730","604","34,674,141","18.50","18.65","18.50","18.65","+","0.20","18.60","62","18.65","41","10.78",
"1713","國化","81,323","36","1,550,185","19.05","19.25","18.95","19.25","+","0.10","19.20","2","19.30","18","25.33",
"1714","和桐","1,293,643","461","8,985,915","6.93","6.98","6.90","6.94","+","0.01","6.93","12","6.94","34","26.69",
"1717","長興","372,017","210","9,357,021","25.10","25.20","25.10","25.20","+","0.10","25.15","65","25.20","16","20.16",
"1718","中纖","2,275,075","638","22,399,202","9.89","9.90","9.81","9.84","-","0.04","9.84","145","9.85","1","8.71",
"1720","生達","56,200","38","1,859,408","33.10","33.15","33.00","33.05","-","0.05","33.05","1","33.10","5","15.81",
"1721","三晃","48,727","27","460,444","9.46","9.48","9.38","9.46"," ","0.00","9.38","5","9.45","2","135.14",
"1722","台肥","1,769,734","922","79,406,424","45.10","45.25","44.70","44.95","-","0.05","44.95","4","45.00","40","19.29",
"1723","中碳","111,080","116","15,081,880","135.50","136.00","135.00","136.00","+","1.00","135.50","11","136.00","17","20.92",
"1724","台硝","29,789","25","393,553","13.25","13.25","13.20","13.25"," ","0.00","13.20","8","13.25","9","17.43",
"1725","元禎","10,200","9","151,270","14.80","14.85","14.80","14.85","-","0.05","14.85","1","14.90","1","12.38",
"1726","永記","11,229","12","830,375","74.80","74.80","73.50","73.60","-","1.10","73.60","7","74.20","2","15.97",
"1727","中華化","94,474","59","1,334,036","14.20","14.20","14.10","14.10","-","0.10","14.05","36","14.15","5","15.67",
"1730","花仙子","149,384","97","10,243,480","69.10","69.10","68.20","68.90","-","0.10","68.70","2","68.90","1","14.35",
"1731","美吾華","220,204","72","2,867,952","13.10","13.10","12.95","13.10","+","0.05","13.05","28","13.10","20","22.98",
"1732","毛寶","52,285","26","550,642","10.45","10.55","10.45","10.55","+","0.05","10.50","4","10.55","5","65.94",
"1733","五鼎","665,240","421","21,530,903","32.65","32.70","32.05","32.05","-","0.35","32.05","8","32.20","1","33.74",
"1734","杏輝","125,080","59","2,505,200","20.10","20.10","20.00","20.05","+","0.05","20.00","35","20.05","14","401.00",
"1735","日勝化","18,000","8","272,900","15.10","15.20","15.10","15.20","+","0.10","15.00","5","15.30","1","152.00",
"1736","喬山","359,680","239","14,472,900","40.70","40.80","40.05","40.20","-","0.50","40.15","1","40.20","6","31.16",
"1760","寶齡富錦","1,485,482","1,168","142,900,526","99.00","99.00","94.80","95.20","-","3.30","95.20","16","95.40","1","45.99",
"1762","中化生","46,004","39","1,142,550","24.95","24.95","24.80","24.80","-","0.15","24.80","20","24.90","3","8.21",
"1773","勝一","173,200","121","15,556,219","90.30","90.40","89.30","89.80","-","0.50","89.50","4","89.80","1","14.48",
"1776","展宇","6,000","5","99,550","16.50","16.65","16.50","16.65","+","0.20","16.55","1","16.65","1","",
"1783","和康生","274,003","187","7,387,337","26.60","27.25","26.60","26.75","+","0.15","26.75","4","26.80","2","32.62",
"1786","科妍","177,324","153","12,395,280","70.00","70.40","69.40","70.00"," ","0.00","69.70","5","70.00","2","42.68",
"1789","神隆","332,355","237","8,646,284","26.35","26.35","25.90","25.90","-","0.25","25.90","38","26.00","14","46.25",
"3164","景岳","87,045","71","2,376,334","27.50","27.50","27.15","27.20","-","0.30","27.15","4","27.25","2","15.28",
"3705","永信","100,188","80","4,209,463","42.00","42.10","41.95","42.10","+","0.05","42.05","1","42.10","11","15.95",
"3708","上緯投控","3,193,313","2,361","320,608,713","99.40","102.00","98.70","100.00","+","1.50","100.00","97","100.50","12","9.08",
"4104","佳醫","108,506","83","5,335,593","49.30","49.30","49.05","49.15","-","0.10","49.10","12","49.15","1","13.96",
"4106","雃博","54,012","48","1,444,718","26.85","26.85","26.65","26.65","-","0.25","26.65","3","26.75","4","24.91",
"4108","懷特","238,096","134","5,018,384","21.20","21.25","21.00","21.05","-","0.15","21.00","46","21.05","34","",
"4119","旭富","1,738,126","1,305","158,031,212","91.70","91.90","90.30","90.90","-","2.00","90.80","25","91.00","5","16.15",
