"108年10月17日每日收盤行情(造紙工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1902","台紙","298,297","123","6,195,143","20.80","20.95","20.60","20.80","+","0.15","20.70","4","20.80","30","32.50",
"1903","士紙","38,353","24","1,256,839","32.85","33.00","32.40","32.70","-","0.15","32.50","1","32.70","1","",
"1904","正隆","1,289,023","632","23,694,359","18.35","18.45","18.30","18.45","+","0.10","18.35","8","18.45","86","10.66",
"1905","華紙","1,022,439","348","9,518,824","9.27","9.34","9.27","9.32","+","0.04","9.31","1","9.32","49","29.12",
"1906","寶隆","110,000","49","1,413,500","12.90","12.95","12.75","12.95","+","0.05","12.85","23","12.95","12","10.12",
"1907","永豐餘","901,119","447","10,508,027","11.65","11.75","11.60","11.70","+","0.10","11.65","51","11.70","34","12.45",
"1909","榮成","2,630,581","997","35,745,525","13.60","13.75","13.50","13.55","-","0.05","13.55","63","13.60","36","338.75",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

