"108年08月27日每日收盤行情(鋼鐵工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2002","中鋼","33,335,793","8,378","762,605,689","22.95","23.00","22.85","22.85","-","0.10","22.85","2,126","22.90","71","17.31",
"2002A","中鋼特","16,000","10","769,000","48.00","48.20","48.00","48.20"," ","0.00","48.05","5","48.35","2","",
"2006","東和鋼鐵","1,326,011","434","27,506,728","20.80","20.85","20.65","20.65","-","0.05","20.65","61","20.70","116","20.05",
"2007","燁興","82,399","29","377,543","4.60","4.60","4.54","4.58","+","0.01","4.58","2","4.61","3","",
"2008","高興昌","2,000","2","24,800","12.40","12.40","12.40","12.40"," ","0.00","12.35","51","12.45","3","",
"2009","第一銅","81,825","57","772,772","9.46","9.51","9.41","9.41","-","0.01","9.41","2","9.44","5","313.67",
"2010","春源","139,295","72","1,407,977","10.15","10.15","10.05","10.10","-","0.05","10.05","101","10.10","5","33.67",
"2012","春雨","93,061","26","1,905,850","20.80","20.80","20.40","20.45","-","0.15","20.45","3","20.65","2","11.89",
"2013","中鋼構","119,021","74","2,821,745","23.45","23.85","23.45","23.65","+","0.20","23.60","11","23.65","1","41.49",
"2014","中鴻","2,821,241","2,578","27,959,889","9.93","9.97","9.88","9.88","-","0.03","9.88","34","9.89","1","7.78",
"2015","豐興","620,552","469","34,152,800","55.70","55.70","54.80","54.80","-","0.70","54.80","32","55.20","1","11.84",
"2017","官田鋼","31,500","29","218,235","6.90","6.96","6.90","6.92","+","0.04","6.92","10","6.95","8","98.86",
"2020","美亞","101,343","54","1,531,445","15.15","15.20","15.05","15.05","-","0.10","15.15","2","15.20","16","9.35",
"2022","聚亨","373,117","100","2,489,362","6.66","6.69","6.65","6.68","-","0.02","6.67","21","6.68","19","",
"2023","燁輝","1,308,181","698","11,700,686","9.00","9.05","8.86","8.96","X","0.00","8.96","9","8.98","10","",
"2024","志聯","383,001","90","4,149,110","10.80","10.95","10.75","10.75","-","0.05","10.75","37","10.80","15","23.89",
"2025","千興","194,302","18","323,862","1.67","1.67","1.65","1.65"," ","0.00","1.65","69","1.67","36","",
"2027","大成鋼","5,356,473","2,614","204,798,831","38.95","38.95","38.10","38.10","-","0.70","38.10","242","38.15","32","9.69",
"2028","威致","375,200","35","3,434,012","9.09","9.18","9.05","9.17"," ","0.00","9.16","1","9.17","1","8.19",
"2029","盛餘","28,080","28","549,120","19.55","19.60","19.50","19.60","+","0.05","19.55","1","19.60","11","78.40",
"2030","彰源","308,021","160","3,899,563","12.70","12.80","12.50","12.70"," ","0.00","12.70","9","12.75","9","10.58",
"2031","新光鋼","479,470","273","12,593,016","26.10","26.40","26.10","26.20","+","0.10","26.15","18","26.20","8","119.09",
"2032","新鋼","63,000","24","562,780","8.86","9.06","8.86","8.90","+","0.04","8.87","2","8.90","2","98.89",
"2033","佳大","6,100","6","55,230","9.12","9.12","9.00","9.09","+","0.11","8.95","1","9.08","6","113.62",
"2034","允強","301,278","247","7,742,553","25.70","25.80","25.60","25.80","+","0.10","25.75","3","25.80","18","13.44",
"2038","海光","96,950","42","678,123","7.00","7.03","6.97","6.97","-","0.01","6.97","15","7.00","10","",
"2069","運錩","84,000","38","1,735,700","20.90","20.90","20.55","20.60","+","0.10","20.60","7","20.65","13","4.00",
"3004","豐達科","4,292,324","2,419","447,463,144","97.40","106.00","97.10","106.00","+","9.50","106.00","916","--","0","16.51",
"5007","三星","87,551","52","4,579,906","52.20","52.60","52.10","52.30","-","0.10","52.20","1","52.30","5","15.71",
"5538","東明-KY","25,000","10","800,700","32.00","32.15","32.00","32.15","-","0.90","32.15","7","32.50","2","13.57",
"9958","世紀鋼","3,283,677","2,013","231,014,090","71.50","72.00","69.70","70.00","-","1.30","70.00","115","70.10","3","437.50",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

