"108年01月23日每日收盤行情(橡膠工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2101","南港","219,137","136","5,710,545","26.10","26.20","26.00","26.05","-","0.10","26.05","2","26.15","16","70.41",
"2102","泰豐","255,352","118","2,752,574","10.85","10.90","10.75","10.80","-","0.05","10.75","95","10.80","37","",
"2103","台橡","184,983","173","5,170,511","28.10","28.10","27.85","27.95","-","0.25","27.95","20","28.00","22","20.25",
"2104","國際中橡","5,427,106","2,590","233,677,408","43.15","43.40","42.75","43.15"," ","0.00","43.10","12","43.15","162","9.94",
"2105","正新","4,737,829","942","201,788,064","42.30","42.85","42.25","42.85","+","0.35","42.75","32","42.85","43","36.01",
"2106","建大","175,952","104","5,205,628","29.55","29.70","29.45","29.70","+","0.15","29.50","11","29.70","32","43.68",
"2107","厚生","196,943","99","2,987,630","15.20","15.25","15.10","15.25","+","0.05","15.20","2","15.25","20","29.33",
"2108","南帝","255,341","162","7,427,704","29.05","29.20","29.05","29.05","+","0.05","29.05","2","29.15","31","9.62",
"2109","華豐","65,060","45","816,739","12.60","12.60","12.55","12.55"," ","0.00","12.55","15","12.60","16","",
"2114","鑫永銓","3,010","4","247,325","82.50","82.50","82.00","82.00","-","0.50","82.10","1","82.50","2","12.95",
"6582","申豐","8,100","8","393,520","48.80","48.80","48.50","48.50","-","0.20","48.30","1","48.60","4","12.60",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

