"108年09月26日每日收盤行情(汽車工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1319","東陽","1,438,084","1,059","68,565,292","48.50","48.50","47.40","47.45","-","0.95","47.45","30","47.65","10","14.92",
"1338","廣華-KY","251,007","208","16,689,590","67.10","67.20","66.30","66.30","-","0.70","66.30","1","66.50","10","14.02",
"1339","昭輝","112,000","91","4,911,550","44.25","44.25","43.65","43.65","-","0.20","43.65","3","43.75","1","10.03",
"1512","瑞利","45,001","7","225,204","5.00","5.01","5.00","5.00","-","0.01","5.00","9","5.10","19","",
"1521","大億","18,201","17","1,214,767","66.90","67.00","66.50","66.50","-","0.40","66.50","5","66.80","1","14.58",
"1522","堤維西","1,454,841","684","45,991,274","31.45","31.85","31.45","31.60","+","0.15","31.50","44","31.60","9","16.12",
"1524","耿鼎","48,098","120","478,022","9.96","9.96","9.92","9.95","-","0.01","9.93","3","9.95","1","9.57",
"1525","江申","70,001","58","3,886,355","55.70","56.60","55.10","55.70","+","0.70","55.40","2","55.80","5","10.99",
"1533","車王電","53,920","47","2,051,593","38.00","38.20","38.00","38.00","+","0.15","38.00","18","38.10","1","14.29",
"1536","和大","592,730","436","67,862,084","114.50","115.00","114.00","114.50","+","0.50","114.50","2","115.00","146","29.66",
"1568","倉佑","87,180","73","1,853,348","21.15","21.40","21.10","21.20","+","0.05","21.20","5","21.25","1","49.30",
"1587","吉茂","51,000","23","891,350","17.50","17.65","17.40","17.50"," ","0.00","17.45","2","17.50","4","21.08",
"1592","英瑞-KY","148,200","73","2,890,070","19.50","19.60","19.30","19.35","-","0.15","19.35","4","19.45","5","",
"2115","六暉-KY","21,738","23","862,978","39.50","39.95","39.45","39.55","+","0.05","39.45","1","39.60","1","13.73",
"2201","裕隆","1,943,641","896","39,081,688","20.25","20.30","20.00","20.15","-","0.10","20.10","38","20.15","1","",
"2206","三陽工業","654,565","334","13,890,565","21.30","21.30","21.10","21.10","-","0.10","21.10","4","21.15","2","6.26",
"2207","和泰車","410,735","392","195,578,155","470.50","483.00","470.50","473.00","+","6.00","472.50","4","475.00","5","25.07",
"2227","裕日車","141,370","135","35,512,145","248.50","253.50","248.50","250.00","+","1.50","250.00","9","252.00","7","12.44",
"2228","劍麟","2,833,051","2,108","369,812,100","125.00","133.00","125.00","130.00","+","6.00","130.00","65","130.50","6","17.71",
"2231","為升","569,012","516","143,852,536","252.00","254.50","251.50","251.50","+","2.00","251.50","8","252.00","2","27.55",
"2233","宇隆","278,979","205","20,246,679","71.70","73.10","71.70","72.60","+","1.00","72.60","2","72.80","7","12.06",
"2236","百達-KY","10,106","10","243,312","23.90","24.70","23.85","23.85","-","0.05","23.90","1","24.35","1","12.75",
"2239","英利-KY","80,004","75","7,769,412","96.70","98.00","96.70","97.00","-","1.10","97.00","2","97.80","1","14.22",
"2243","宏旭-KY","97,043","65","1,472,555","15.05","15.70","14.85","15.10","+","0.30","14.95","1","15.20","3","",
"2497","怡利電","239,000","148","6,169,700","26.40","26.40","25.55","25.85","-","0.05","25.85","1","25.95","8","",
"3346","麗清","63,483","46","2,082,141","32.85","33.00","32.70","32.70","-","0.10","32.70","16","32.75","2","20.44",
"4551","智伸科","3,992,050","2,804","632,350,574","151.50","161.50","151.00","161.50","+","14.50","161.50","2,027","--","0","23.17",
"4557","永新-KY","31,000","26","2,159,900","70.00","70.00","69.30","69.30","-","0.40","69.30","3","69.80","1","11.11",
"6288","聯嘉","1,298,464","447","27,191,211","21.10","21.30","20.70","20.70","-","0.30","20.70","33","20.75","1","20.50",
"6605","帝寶","151,360","121","9,570,460","63.30","63.40","63.10","63.10","-","0.20","63.10","22","63.40","13","11.15",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

