"108年07月10日每日收盤行情(電子工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1471","首利","115,911","59","501,734","4.32","4.36","4.31","4.33","-","0.01","4.32","5","4.33","1","",
"1582","信錦","385,506","323","30,272,974","79.10","79.10","78.20","79.00","-","0.10","78.80","1","79.00","3","10.08",
"2059","川湖","304,423","243","91,589,669","302.00","303.00","300.00","300.50","-","1.50","300.50","1","301.50","1","15.07",
"2301","光寶科","3,788,097","2,353","177,143,050","46.10","47.00","46.10","46.70","+","0.65","46.70","41","46.75","1","12.94",
"2302","麗正","45,100","27","353,890","7.82","7.88","7.81","7.88","+","0.02","7.85","3","7.88","2","35.82",
"2303","聯電","61,150,881","11,461","885,093,864","14.10","14.70","14.10","14.65","+","0.65","14.60","635","14.65","1,253","35.73",
"2305","全友","139,999","61","840,591","5.95","6.05","5.95","6.01","+","0.04","6.01","4","6.02","21","300.50",
"2308","台達電","2,832,242","2,071","427,982,284","151.00","152.00","150.50","151.50","+","0.50","151.50","52","152.00","127","20.95",
"2312","金寶","1,928,586","800","19,941,130","10.40","10.40","10.30","10.40","+","0.05","10.35","33","10.40","87","16.00",
"2313","華通","9,497,961","3,041","250,508,345","26.35","26.60","26.30","26.30","+","0.10","26.30","491","26.35","11","14.06",
"2314","台揚","977,866","562","24,428,957","25.15","25.20","24.85","24.90","-","0.05","24.90","16","24.95","76","108.26",
"2316","楠梓電","586,883","334","13,613,997","23.20","23.35","23.15","23.20","+","0.05","23.20","40","23.25","14","10.89",
"2317","鴻海","20,106,457","8,319","1,568,642,420","78.70","78.70","77.70","77.90"," ","0.00","77.90","21","78.00","263","8.66",
"2321","東訊","12,186","8","23,861","1.94","1.98","1.94","1.98","-","0.01","1.96","5","1.98","12","",
"2323","中環","9,189,512","1,964","65,286,141","7.05","7.15","7.05","7.08","+","0.05","7.08","128","7.09","124","11.24",
"2324","仁寶","11,654,115","3,419","236,059,323","20.30","20.35","20.15","20.25","-","0.05","20.25","232","20.30","854","9.93",
"2327","國巨","3,723,444","2,808","995,663,436","266.00","269.50","265.00","269.00","+","5.00","268.50","23","269.00","8","3.55",
"2328","廣宇","2,509,631","1,444","59,666,179","23.80","24.05","23.60","23.80","+","0.10","23.80","71","23.85","53","10.17",
"2329","華泰","6,964,927","2,090","104,447,508","14.95","15.25","14.75","14.85","-","0.05","14.85","73","14.90","75","165.00",
"2330","台積電","23,812,131","12,366","5,839,691,357","243.00","247.00","243.00","247.00","+","5.00","246.50","62","247.00","1,991","19.84",
"2331","精英","266,948","85","3,123,841","11.70","11.80","11.65","11.70","-","0.05","11.65","46","11.70","2","65.00",
"2332","友訊","2,373,782","751","30,615,944","12.90","13.05","12.80","12.85","-","0.05","12.85","167","12.90","26","",
"2337","旺宏","62,857,286","18,503","1,545,062,905","24.50","24.80","24.25","24.80","+","0.70","24.75","248","24.80","1,940","6.28",
"2338","光罩","394,349","247","9,413,756","23.80","24.00","23.70","23.90","+","0.25","23.90","10","23.95","14","26.26",
"2340","光磊","3,002,856","1,398","69,355,588","23.10","23.30","22.90","23.15","+","0.30","23.15","7","23.20","119","16.90",
"2342","茂矽","363,539","183","7,282,984","20.25","20.25","19.95","20.00","-","0.10","20.00","10","20.05","8","23.26",
"2344","華邦電","63,903,338","13,668","1,067,290,036","16.60","16.90","16.50","16.85","+","0.40","16.85","176","16.90","3,066","10.66",
"2345","智邦","4,227,827","2,575","556,886,071","131.50","133.00","129.50","133.00","+","3.00","132.50","42","133.00","425","23.17",
"2347","聯強","1,537,203","955","60,111,120","39.00","39.20","38.85","39.20","+","0.10","39.15","20","39.20","156","10.83",
"2349","錸德","2,072,540","844","18,110,031","8.69","8.85","8.69","8.71","+","0.03","8.71","58","8.73","19","",
"2351","順德","172,000","133","11,163,800","64.60","65.20","64.50","65.20","+","0.60","64.90","6","65.20","2","14.36",
"2352","佳世達","2,849,291","740","57,547,093","20.25","20.30","20.15","20.15","-","0.05","20.15","275","20.20","608","10.08",
"2353","宏碁","8,427,323","2,892","162,470,063","19.30","19.40","19.15","19.25","+","0.35","19.20","295","19.25","228","19.06",
"2354","鴻準","1,150,036","820","73,643,304","64.00","64.40","63.80","64.20","+","0.60","64.20","5","64.30","24","10.19",
"2355","敬鵬","528,499","403","17,775,662","33.60","33.80","33.50","33.75","+","0.15","33.70","10","33.75","1","337.50",
"2356","英業達","13,491,623","3,549","343,312,472","25.50","25.50","25.25","25.50","+","0.25","25.45","366","25.50","365","13.21",
"2357","華碩","786,925","617","169,792,800","215.50","216.50","215.00","215.50","-","0.50","215.50","13","216.00","5","39.61",
"2359","所羅門","412,261","212","8,233,678","20.05","20.05","19.90","19.95","-","0.10","19.95","9","20.00","25","7.61",
"2360","致茂","871,521","683","125,510,003","142.50","145.50","142.00","143.50","+","2.50","143.50","13","144.00","65","24.78",
"2362","藍天","448,113","183","14,026,724","31.30","31.40","31.20","31.40","+","0.10","31.40","16","31.45","19","19.62",
"2363","矽統","2,461,937","759","20,194,075","8.15","8.25","8.14","8.25","+","0.10","8.24","4","8.25","74","",
"2364","倫飛","14,429","9","33,906","2.35","2.35","2.35","2.35","-","0.01","2.36","10","2.42","1","",
"2365","昆盈","263,502","109","2,150,567","8.24","8.24","8.13","8.23","-","0.01","8.20","5","8.23","1","54.87",
"2367","燿華","8,359,537","2,758","183,563,917","21.95","22.10","21.85","22.00","+","0.15","21.95","118","22.00","1,038","16.79",
"2368","金像電","4,570,410","1,303","55,041,420","12.00","12.15","11.95","12.05","+","0.15","12.00","132","12.05","60","38.87",
"2369","菱生","525,071","293","4,356,481","8.31","8.39","8.24","8.36","X","0.00","8.35","3","8.36","1","",
"2373","震旦行","96,199","99","9,486,875","97.60","99.20","97.60","99.20","+","1.60","99.20","1","99.30","6","14.57",
"2374","佳能","1,751,177","887","27,804,579","16.05","16.20","15.75","15.80","-","0.25","15.80","18","15.85","10","",
"2375","凱美","1,275,283","658","57,986,345","45.55","45.70","45.30","45.40","+","0.40","45.40","17","45.45","11","2.30",
"2376","技嘉","5,414,212","2,997","286,188,325","52.30","53.40","52.30","52.50","+","0.20","52.50","17","52.80","108","27.78",
"2377","微星","3,728,853","2,179","334,640,493","89.00","90.20","89.00","89.80","+","1.00","89.70","8","89.80","133","14.48",
"2379","瑞昱","8,716,503","6,545","1,925,640,663","228.00","229.50","218.50","219.00","-","8.00","219.00","29","219.50","2","22.77",
"2380","虹光","158,800","59","529,612","3.33","3.35","3.32","3.34","-","0.01","3.33","2","3.34","3","",
"2382","廣達","4,634,199","2,155","281,531,887","60.30","61.00","60.20","60.90","+","0.80","60.80","50","60.90","80","15.15",
"2383","台光電","11,463,513","6,676","1,186,350,326","102.00","106.00","100.50","102.50","+","1.50","102.50","316","103.00","42","16.80",
"2385","群光","1,780,763","1,345","138,009,229","76.70","78.80","76.00","78.00","+","1.20","77.80","8","78.00","79","11.52",
"2387","精元","11,042,152","4,452","280,391,075","26.30","26.30","24.85","25.40","-","1.10","25.40","23","25.45","33","24.19",
"2388","威盛","699,260","466","24,835,675","35.45","35.75","35.35","35.45","+","0.10","35.45","24","35.50","12","322.27",
"2390","云辰","1,112,507","483","13,596,983","12.25","12.40","12.10","12.20","-","0.05","12.20","25","12.25","3","",
"2392","正崴","7,817,895","3,889","269,310,280","32.60","35.80","32.60","35.80","+","3.25","35.80","4,499","--","0","14.32",
"2393","億光","269,718","163","7,818,247","28.90","29.10","28.85","29.10","+","0.30","28.95","9","29.10","22","16.72",
"2395","研華","374,179","314","96,243,182","258.00","258.00","256.00","258.00","+","1.00","257.50","13","258.00","10","27.53",
"2397","友通","47,210","40","3,957,392","84.80","84.80","83.30","83.30","-","0.20","83.20","4","84.10","2","15.01",
"2399","映泰","20,989,741","6,987","280,378,387","12.70","13.75","12.60","13.75","+","1.25","13.75","1,715","--","0","",
"2401","凌陽","1,565,500","486","20,361,650","12.90","13.05","12.90","13.00","+","0.10","13.00","74","13.05","74","",
"2402","毅嘉","403,700","208","6,052,283","15.05","15.15","14.90","15.15","+","0.10","15.05","5","15.15","19","18.70",
"2404","漢唐","1,504,879","1,201","225,079,850","149.00","150.50","149.00","149.50","+","1.00","149.50","28","150.00","37","10.66",
"2405","浩鑫","803,054","332","9,569,689","12.00","12.05","11.85","11.90"," ","0.00","11.90","78","11.95","4","",
"2406","國碩","1,197,120","411","9,946,422","8.37","8.37","8.26","8.29"," ","0.00","8.29","31","8.30","4","",
"2408","南亞科","35,834,712","15,885","2,293,082,619","64.00","64.50","63.20","64.40","+","1.60","64.40","472","64.50","1,216","5.47",
"2409","友達","73,591,547","11,037","683,805,027","9.25","9.37","9.23","9.30","+","0.09","9.30","539","9.31","1,429","42.27",
"2412","中華電","6,186,386","1,878","701,501,262","113.50","113.50","113.00","113.50"," ","0.00","113.00","4,268","113.50","6,027","25.06",
