"109年01月07日每日收盤行情(建材營造)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1316","上曜","674,301","258","9,206,258","13.85","13.85","13.55","13.65","-","0.10","13.60","108","13.65","40","",
"1436","華友聯","590,930","429","24,858,230","40.95","43.30","40.95","41.85","+","0.90","41.85","4","42.15","1","26.32",
"1438","裕豐","4,000","2","53,000","13.25","13.25","13.25","13.25"," ","0.00","12.90","2","13.25","13","",
"1442","名軒","479,809","224","9,186,321","19.30","19.35","19.05","19.15","-","0.15","19.10","32","19.15","2","73.65",
"1805","寶徠","33,000","16","302,110","9.04","9.29","9.04","9.22","+","0.05","9.08","10","9.23","2","",
"1808","潤隆","333,245","184","20,704,014","62.40","62.40","61.90","62.10","-","0.30","62.10","23","62.20","19","1,035.00",
"2501","國建","518,094","316","10,804,944","20.85","20.95","20.80","20.80","-","0.10","20.80","13","20.85","3","17.48",
"2504","國產","8,585,034","2,029","117,927,413","13.70","13.90","13.55","13.75","+","0.05","13.75","231","13.80","5","28.06",
"2505","國揚","445,338","216","7,384,390","17.00","17.00","16.30","16.45","-","0.05","16.40","10","16.50","4","109.67",
"2506","太設","121,530","47","1,358,104","11.20","11.25","11.15","11.15","-","0.05","11.15","59","11.20","26","18.58",
"2509","全坤建","24,760","20","572,394","23.10","23.15","23.00","23.15"," ","0.00","23.10","1","23.15","6","3.36",
"2511","太子","1,007,020","372","11,245,468","11.20","11.20","11.15","11.20"," ","0.00","11.15","173","11.20","41","13.66",
"2515","中工","3,210,680","904","24,377,466","7.62","7.65","7.56","7.56","-","0.06","7.56","101","7.57","4","58.15",
"2516","新建","28,029","25","168,212","6.00","6.02","5.98","6.00"," ","0.00","5.98","48","6.00","2","30.00",
"2520","冠德","3,010,500","1,445","95,736,173","31.20","32.30","31.00","31.80","+","0.80","31.80","10","31.85","5","10.29",
"2524","京城","1,313,119","571","42,169,272","31.60","32.70","31.45","32.70","+","1.30","32.65","9","32.70","3","10.28",
"2527","宏璟","117,040","88","2,656,814","22.80","22.80","22.65","22.65","-","0.15","22.65","5","22.70","6","6.19",
"2528","皇普","90,507","60","1,867,018","20.50","20.80","20.50","20.55","+","0.05","20.55","3","20.60","8","",
"2530","華建","450,631","48","7,297,159","16.20","16.20","16.10","16.20"," ","0.00","16.10","4","16.20","16","",
"2534","宏盛","674,686","317","16,556,765","24.65","24.65","24.50","24.55","-","0.10","24.55","3","24.60","8","13.56",
"2535","達欣工","657,410","343","13,938,930","21.30","21.30","21.10","21.25","-","0.05","21.20","7","21.25","12","10.73",
"2536","宏普","414,877","227","9,790,647","23.65","23.75","23.35","23.75","+","0.10","23.70","1","23.75","4","13.89",
"2537","聯上發","1,583,344","523","17,257,711","11.10","11.10","10.75","10.90"," ","0.00","10.85","8","10.90","101","",
"2538","基泰","442,905","173","5,598,051","12.65","12.75","12.60","12.65","-","0.05","12.60","57","12.65","59","115.00",
"2539","櫻花建","89,187","58","2,635,275","29.55","29.60","29.45","29.60","+","0.05","29.55","4","29.60","12","16.72",
"2540","愛山林","28,840","14","767,997","26.65","26.85","26.60","26.70","+","0.20","26.35","2","26.65","1","54.49",
"2542","興富發","1,273,805","837","58,632,528","46.20","46.25","45.90","46.00","-","0.20","46.00","64","46.05","16","12.43",
"2543","皇昌","91,865","58","656,313","7.25","7.29","6.66","7.09","-","0.15","7.06","2","7.20","2","",
"2545","皇翔","502,660","336","19,909,718","39.25","40.70","38.80","40.00","+","0.55","40.00","2","40.05","2","31.75",
"2546","根基","48,045","43","1,799,130","37.50","37.50","37.30","37.50"," ","0.00","37.50","3","37.60","3","8.78",
"2547","日勝生","997,614","426","11,318,608","11.40","11.40","11.30","11.35","-","0.05","11.30","374","11.35","1","162.14",
"2548","華固","708,282","490","64,965,153","91.20","92.30","91.20","92.00","+","0.70","92.00","39","92.10","1","7.60",
"2597","潤弘","46,000","41","2,897,800","62.90","63.30","62.70","63.00","+","0.20","63.00","6","63.30","1","14.48",
"2841","台開","1,139,996","350","10,069,033","8.81","8.87","8.81","8.81"," ","0.00","8.81","104","8.83","1","14.68",
"2923","鼎固-KY","187,039","145","5,188,989","27.00","28.30","26.95","27.80","+","0.85","27.75","2","27.90","8","4.79",
"3052","夆典","610,938","169","7,331,401","12.05","12.05","11.95","12.05","+","0.05","12.00","47","12.05","35","",
"3056","總太","1,598,099","900","50,955,380","32.00","32.45","31.55","31.75","+","0.10","31.75","4","31.80","7","17.16",
"3266","昇陽","28,579","25","438,750","15.40","15.40","15.30","15.35"," ","0.00","15.30","1","15.35","3","35.70",
"3703","欣陸","599,720","208","7,867,695","13.05","13.25","13.05","13.05"," ","0.00","13.05","114","13.10","1","24.62",
"5515","建國","216,816","85","2,303,140","10.65","10.65","10.60","10.60"," ","0.00","10.60","3","10.65","81","14.52",
"5519","隆大","1,537,186","416","25,182,730","16.35","16.50","16.30","16.40","+","0.05","16.40","82","16.45","172","4.98",
"5521","工信","4,147,247","1,339","37,210,284","9.15","9.17","8.87","8.96","-","0.19","8.96","3","8.97","4","",
"5522","遠雄","943,104","593","38,028,979","40.15","40.70","40.05","40.70","+","0.55","40.60","4","40.70","1","13.80",
"5525","順天","71,468","63","1,638,219","23.10","23.10","22.80","22.95","-","0.15","22.90","2","22.95","5","8.60",
"5531","鄉林","322,728","140","3,476,238","10.75","10.85","10.75","10.75"," ","0.00","10.75","42","10.85","38","",
"5533","皇鼎","91,746","45","1,467,071","15.95","16.15","15.95","16.15","+","0.25","15.95","2","16.15","1","36.70",
"5534","長虹","503,683","404","41,255,439","82.50","82.50","81.50","81.80","-","0.40","81.80","14","81.90","1","8.67",
"6177","達麗","241,346","168","6,807,759","28.20","28.35","28.10","28.35","+","0.15","28.20","41","28.35","12","7.46",
"9906","欣巴巴","478,753","295","10,827,126","21.20","23.10","20.95","23.10","+","2.10","23.10","8","--","0","",
"9946","三發地產","2,433,448","1,137","66,740,889","27.00","27.65","26.95","27.60","+","0.70","27.55","13","27.60","39","5.61",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

