"108年04月12日每日收盤行情(航運業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2208","台船","1,191,364","597","32,729,165","27.85","27.85","27.20","27.30","-","0.35","27.30","15","27.45","3","",
"2603","長榮","7,388,085","2,306","90,135,307","12.20","12.25","12.15","12.20"," ","0.00","12.20","45","12.25","1,204","174.29",
"2605","新興","920,835","472","14,821,041","16.35","16.35","16.00","16.05","-","0.15","16.00","105","16.05","6","145.91",
"2606","裕民","695,760","357","21,802,774","31.50","31.50","31.20","31.30","-","0.20","31.30","28","31.35","61","15.89",
"2607","榮運","652,712","151","8,818,823","13.60","13.60","13.45","13.50","-","0.05","13.50","3","13.55","35","16.67",
"2608","嘉里大榮","120,377","98","4,467,265","37.25","37.25","37.00","37.10","-","0.15","37.10","2","37.15","3","14.27",
"2609","陽明","1,813,367","414","15,846,455","8.76","8.77","8.71","8.73","-","0.02","8.73","285","8.74","20","",
"2610","華航","3,412,820","1,059","33,771,868","9.90","9.92","9.85","9.89","+","0.01","9.89","627","9.90","23","29.97",
"2611","志信","246,600","67","1,854,925","7.54","7.56","7.47","7.51","-","0.08","7.51","1","7.52","6","25.90",
"2612","中航","140,540","255","4,213,818","30.15","30.15","29.95","30.00","+","0.10","29.95","11","30.00","1","11.54",
"2613","中櫃","2,383,647","1,120","33,763,736","13.55","14.60","13.55","14.40","+","0.90","14.40","42","14.45","23","27.17",
"2615","萬海","515,003","215","8,321,294","16.30","16.30","16.05","16.15","-","0.10","16.10","36","16.15","1","32.30",
"2617","台航","489,000","221","8,845,950","18.15","18.20","18.00","18.00","-","0.10","18.00","115","18.05","2","7.86",
"2618","長榮航","26,150,638","5,034","407,524,733","15.40","15.70","15.35","15.65","+","0.25","15.65","345","15.70","2,262","10.50",
"2630","亞航","86,160","64","1,995,744","23.00","23.25","23.00","23.20","-","0.45","23.15","3","23.25","1","178.46",
"2633","台灣高鐵","6,722,323","2,828","235,397,405","35.05","35.10","34.95","35.10"," ","0.00","35.05","12","35.10","174","18.47",
"2634","漢翔","2,676,334","1,487","85,806,949","31.80","32.40","31.60","31.85","+","0.45","31.85","10","31.90","11","14.35",
"2636","台驊投控","1,432,918","611","39,894,746","27.65","28.05","27.65","27.95","+","0.35","27.90","1","27.95","34","9.13",
"2637","慧洋-KY","725,732","334","21,321,519","29.40","29.50","29.30","29.40"," ","0.00","29.35","91","29.40","99","10.24",
"2642","宅配通","59,225","44","1,304,612","22.00","22.10","21.95","22.00"," ","0.00","21.95","15","22.00","4","30.56",
"5607","遠雄港","157,000","41","2,766,600","17.65","17.75","17.60","17.60","-","0.15","17.55","37","17.60","2","13.54",
"5608","四維航","97,507","135","953,462","9.89","9.89","9.72","9.75","-","0.05","9.74","1","9.75","47","",
"8367","建新國際","99,000","30","2,321,850","23.45","23.55","23.40","23.50","-","0.05","23.50","17","23.55","1","12.84",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

