"109年02月20日每日收盤行情(觀光事業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2701","萬企","4,944","8","64,472","13.05","13.05","13.05","13.05","-","0.05","13.00","11","13.15","20","14.03",
"2702","華園","227,781","116","3,731,928","16.55","16.60","16.25","16.25","-","0.20","16.25","4","16.30","11","23.90",
"2704","國賓","88,391","61","2,273,545","25.85","26.00","25.60","25.60","-","0.10","25.60","15","25.75","6","26.12",
"2705","六福","371,350","145","4,992,065","13.45","13.55","13.35","13.55","+","0.10","13.50","3","13.55","7","",
"2706","第一店","109,484","49","1,635,910","14.90","15.00","14.90","14.90","-","0.05","14.90","80","14.95","1","13.07",
"2707","晶華","166,417","159","25,176,384","152.00","152.50","150.50","151.00","-","1.00","151.00","1","151.50","14","14.01",
"2712","遠雄來","35,001","32","1,529,944","44.80","44.80","43.05","44.25","-","0.60","43.60","2","44.10","2","",
"2722","夏都","4,293","7","108,095","25.20","25.20","25.20","25.20","-","0.05","24.80","1","25.10","1","47.55",
"2723","美食-KY","422,176","389","43,428,536","104.00","104.00","102.00","102.50","-","0.50","102.00","31","102.50","4","17.37",
"2727","王品","252,367","271","17,284,580","68.80","69.00","68.20","68.30","-","0.40","68.20","18","68.50","4","14.98",
"2731","雄獅","158,500","130","11,584,499","73.70","73.70","72.70","72.80"," ","0.00","72.80","6","72.90","4","33.39",
"2739","寒舍","40,258","27","902,554","22.70","22.70","22.35","22.50","+","0.05","22.40","5","22.50","20","22.96",
"2748","雲品","75,000","61","3,445,400","46.25","46.25","45.70","45.85","+","0.15","45.85","1","46.10","1","14.02",
"5706","鳳凰","100,464","78","3,659,148","36.40","36.60","36.20","36.40"," ","0.00","36.30","1","36.40","14","10.87",
"8462","柏文","126,154","180","22,802,286","179.50","181.50","179.50","180.50","+","1.00","180.00","8","180.50","4","24.13",
"8940","新天地","34,999","32","365,787","10.30","10.55","10.30","10.50","+","0.10","10.40","1","10.50","2","",
"9943","好樂迪","230,520","186","15,597,814","67.50","67.90","67.50","67.80","-","0.10","67.80","4","67.90","11","11.57",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

