"108年10月25日每日收盤行情(金融保險)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2801","彰銀","8,733,994","2,155","192,724,268","22.00","22.15","21.95","22.15","+","0.15","22.10","648","22.15","461","18.01",
"2809","京城銀","428,585","257","13,588,313","31.65","31.90","31.55","31.75","+","0.25","31.70","17","31.75","3","27.61",
"2812","台中銀","4,484,103","1,321","52,986,389","11.85","11.85","11.80","11.80","-","0.05","11.80","774","11.85","836","9.92",
"2816","旺旺保","111,000","22","2,163,900","19.55","19.60","19.40","19.50","-","0.05","19.45","41","19.50","8","6.61",
"2820","華票","261,933","104","3,924,845","15.00","15.00","14.95","15.00"," ","0.00","14.95","25","15.00","425","16.13",
"2823","中壽","4,734,107","1,632","120,115,854","25.60","25.60","25.30","25.30","-","0.25","25.30","250","25.35","74","9.92",
"2832","台產","64,040","34","1,313,330","20.55","20.60","20.45","20.60"," ","0.00","20.50","14","20.60","23","13.55",
"2834","臺企銀","8,370,902","1,997","105,598,021","12.65","12.65","12.55","12.65"," ","0.00","12.60","404","12.65","1,265","11.40",
"2836","高雄銀","242,050","99","2,327,712","9.62","9.63","9.61","9.62"," ","0.00","9.61","32","9.62","19","15.77",
"2838","聯邦銀","723,491","272","7,672,484","10.60","10.65","10.55","10.65","+","0.05","10.60","99","10.65","554","10.65",
"2838A","聯邦銀甲特","22,171","5","1,223,605","55.00","55.20","55.00","55.20","-","0.10","55.00","17","55.20","25","",
"2845","遠東銀","2,320,490","573","28,089,479","12.05","12.15","12.00","12.05"," ","0.00","12.05","349","12.10","231","9.80",
"2849","安泰銀","90,669","48","1,388,202","15.25","15.35","15.25","15.35","+","0.05","15.25","20","15.35","17","11.46",
"2850","新產","119,131","99","4,593,147","38.70","38.70","38.45","38.60","-","0.10","38.55","2","38.60","4","8.85",
"2851","中再保","85,264","39","1,565,407","18.40","18.40","18.30","18.30","-","0.10","18.30","76","18.40","63","10.52",
"2852","第一保","202,030","50","2,860,022","14.20","14.20","14.15","14.20"," ","0.00","14.15","25","14.20","47","10.52",
