"108年10月08日每日收盤行情(貿易百貨)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1432","大魯閣","77,106","23","540,153","7.00","7.09","7.00","7.09","+","0.07","7.01","1","7.10","5","",
"2601","益航","1,428,400","450","16,904,388","11.95","11.95","11.75","11.85"," ","0.00","11.80","44","11.85","24","5.59",
"2614","東森","581,334","263","6,022,384","10.40","10.45","10.30","10.40"," ","0.00","10.35","14","10.40","20","",
"2901","欣欣","12,001","5","272,975","22.80","22.80","22.70","22.75"," ","0.00","22.70","1","22.75","2","47.40",
"2903","遠百","2,604,077","1,116","65,974,128","25.35","25.50","25.05","25.35"," ","0.00","25.35","5","25.40","39","25.10",
"2905","三商","596,345","257","11,042,826","18.60","18.65","18.40","18.60","+","0.05","18.55","5","18.60","11","20.22",
"2906","高林","105,470","44","1,221,248","11.60","11.65","11.55","11.65","+","0.05","11.60","9","11.65","44","194.17",
"2908","特力","234,853","146","5,195,998","22.15","22.35","22.00","22.35","+","0.20","22.05","1","22.35","27","",
"2910","統領","3,000","3","79,950","26.60","26.70","26.60","26.70","+","0.05","26.35","1","26.80","1","53.40",
"2911","麗嬰房","185,489","100","1,308,032","7.07","7.10","7.01","7.08","+","0.01","7.01","5","7.08","1","",
"2912","統一超","727,189","702","209,289,701","285.00","289.00","285.00","288.00","+","2.50","287.50","1","288.00","13","28.43",
"2913","農林","1,079,830","320","17,841,183","16.60","16.60","16.45","16.60"," ","0.00","16.55","9","16.60","143","",
"2915","潤泰全","2,158,036","1,451","150,150,191","68.70","69.90","68.60","69.90","+","1.50","69.80","4","69.90","28","4.15",
"2929","淘帝-KY","314,051","227","31,204,058","99.50","99.70","99.20","99.20"," ","0.00","99.20","14","99.40","4","7.69",
"2936","客思達-KY","1,000","1","20,400","20.40","20.40","20.40","20.40","-","0.05","20.10","1","20.40","3","58.29",
"2939","凱羿-KY","1,020","2","103,020","101.00","101.00","101.00","101.00"," ","0.00","100.50","1","101.00","1","13.72",
"4807","日成-KY","29,017","21","867,899","29.45","30.20","29.45","30.00","+","0.55","29.50","35","30.00","4","",
"5906","台南-KY","5,000","5","62,650","12.40","12.65","12.40","12.65","+","0.10","12.50","2","12.65","4","16.43",
"5907","大洋-KY","123,000","76","3,677,200","29.80","30.10","29.80","29.80"," ","0.00","29.80","6","29.90","2","12.79",
"8429","金麗-KY","491,077","204","6,491,665","13.30","13.30","13.15","13.20","-","0.05","13.15","70","13.20","3","8.10",
"8443","阿瘦","35,100","12","390,965","11.20","11.20","11.10","11.10","-","0.05","11.15","1","11.20","6","",
"8454","富邦媒","36,040","31","9,304,320","258.50","259.50","257.00","257.00","-","3.00","257.00","5","259.00","1","25.22",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

