"108年03月26日每日收盤行情(其他)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1262","綠悅-KY","198,210","137","7,155,631","35.80","36.70","35.70","36.35","+","0.55","36.35","20","36.50","1","",
"1435","中福","95,369","59","519,326","5.46","5.50","5.42","5.47","+","0.01","5.42","7","5.48","6","",
"1437","勤益控","104,551","44","1,925,487","18.50","18.50","18.35","18.45","+","0.05","18.40","10","18.45","15","13.87",
"1516","川飛","6,427","7","102,808","16.00","16.00","16.00","16.00"," ","0.00","16.00","11","16.20","1","31.37",
"2062","橋椿","154,657","89","5,146,975","32.85","33.60","32.85","33.50","+","0.50","33.50","1","33.55","8","49.26",
"2348","海悅","511,151","303","25,621,140","49.85","50.70","49.80","50.50","+","1.20","50.50","4","50.60","6","10.16",
"2358","廷鑫","103,880","64","1,725,851","16.55","16.75","16.50","16.70","+","0.15","16.60","1","16.70","14","22.57",
"2443","億麗","71,053","49","300,907","4.26","4.26","4.20","4.26"," ","0.00","4.25","6","4.27","1","",
"2496","卓越","111","2","10,467","--","--","--","--"," ","0.00","93.30","1","98.00","1","13.40",
"2514","龍邦","129,382","82","2,076,182","16.00","16.20","15.95","16.00","-","0.20","16.00","3","16.05","2","25.40",
"2904","匯僑","45,731","34","1,020,985","22.30","22.40","22.30","22.30","+","0.10","22.30","4","22.35","7","13.35",
"3040","遠見","53,800","46","1,919,520","35.00","36.00","35.00","36.00","-","0.05","35.95","4","36.10","1","27.48",
"4536","拓凱","381,339","346","60,697,230","156.50","162.00","156.00","157.50","+","2.00","157.50","3","159.00","6","19.96",
"5284","jpp-KY","11,087","10","633,485","57.00","57.30","56.70","56.70","-","0.30","56.70","1","57.00","3","13.50",
"5871","中租-KY","2,527,098","1,390","310,908,590","122.00","124.00","121.50","123.50","+","2.00","123.50","10","124.00","567","11.91",
"6184","大豐電","35,497","24","1,306,139","36.75","36.85","36.75","36.85","+","0.05","36.85","1","36.90","6","15.55",
"6464","台數科","2,000","2","218,000","109.00","109.00","109.00","109.00"," ","0.00","109.00","3","110.00","5","20.80",
