"108年02月26日每日收盤行情(化學工業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1708","東鹼","119,973","131","3,095,343","25.95","25.95","25.65","25.70","-","0.25","25.70","7","25.80","4","11.90",
"1709","和益","417,146","229","6,366,875","15.10","15.35","15.10","15.30","+","0.25","15.25","31","15.30","3","14.30",
"1710","東聯","1,688,178","989","44,607,145","26.55","26.55","26.35","26.45","-","0.10","26.45","10","26.50","72","11.97",
"1711","永光","249,687","149","4,225,693","17.00","17.05","16.85","16.90","-","0.05","16.90","9","16.95","14","20.61",
"1712","興農","310,415","138","5,339,999","17.20","17.25","17.15","17.25","+","0.05","17.20","7","17.25","38","10.78",
"1713","國化","2,333","5","44,343","18.95","19.05","18.95","19.05","+","0.05","18.95","1","19.10","4","25.07",
"1714","和桐","2,004,007","564","13,716,178","6.80","6.88","6.80","6.82","+","0.03","6.82","18","6.83","20","48.71",
"1717","長興","478,422","270","12,203,604","25.50","25.70","25.40","25.50","-","0.10","25.50","6","25.55","11","15.64",
"1718","中纖","7,318,067","1,501","73,442,754","10.15","10.15","9.97","9.97","-","0.13","9.97","178","9.98","3","7.55",
"1721","三晃","78,000","24","765,460","9.80","9.88","9.80","9.82","+","0.02","9.80","11","9.83","1","65.47",
"1722","台肥","1,588,128","1,220","71,990,043","45.35","45.50","45.00","45.40","-","0.05","45.35","2","45.40","2","23.16",
"1723","中碳","182,349","162","24,707,630","135.50","136.00","135.00","136.00","+","0.50","135.50","7","136.00","44","21.45",
"1724","台硝","14,004","13","186,052","13.30","13.30","13.25","13.25"," ","0.00","13.25","3","13.30","5","17.91",
"1725","元禎","25,000","13","360,950","14.50","14.55","14.40","14.45"," ","0.00","14.45","1","14.50","2","11.56",
"1726","永記","22,193","20","1,622,107","73.00","73.30","72.50","73.30","+","0.20","73.00","1","73.30","5","14.69",
"1727","中華化","34,000","16","483,400","14.20","14.25","14.20","14.20"," ","0.00","14.15","17","14.20","11","13.92",
"1730","花仙子","239,031","192","16,483,650","69.70","69.80","68.30","68.80","-","0.60","68.80","10","68.90","1","16.99",
"1732","毛寶","44,000","18","474,000","10.85","10.90","10.70","10.90","+","0.05","10.75","9","10.90","6","72.67",
"1735","日勝化","19,825","11","312,255","15.80","15.85","15.70","15.80"," ","0.00","15.70","6","15.80","2","52.67",
"1773","勝一","208,000","200","18,800,800","91.00","91.00","90.10","90.10","-","0.60","90.10","3","90.40","3","14.51",
"1776","展宇","11,000","7","180,800","16.45","16.45","16.40","16.45"," ","0.00","16.40","6","16.50","10","65.80",
"3708","上緯投控","2,645,717","1,966","253,256,432","96.90","97.50","94.60","95.60","-","2.00","95.60","6","95.70","3","11.46",
"4720","德淵","56,244","13","759,519","13.55","13.55","13.50","13.50","+","0.05","13.50","6","13.55","1","58.70",
"4722","國精化","68,950","52","1,917,214","27.80","28.15","27.60","27.65","-","0.15","27.65","1","27.70","1","10.09",
"4725","信昌化","628,000","368","15,213,650","24.70","24.70","24.10","24.10","-","0.40","24.05","78","24.10","16","19.92",
"4739","康普","1,459,787","1,111","145,455,794","100.00","101.50","98.20","98.50","-","0.60","98.50","39","98.60","1","17.34",
"4755","三福化","112,008","87","5,163,274","45.80","46.55","45.80","45.90","+","0.55","45.90","1","46.00","11","10.90",
"4763","材料-KY","207,244","179","27,542,952","135.00","136.50","131.00","131.50","-","3.50","131.50","4","132.00","4","26.84",
"4764","雙鍵","128,000","100","10,530,400","82.80","82.80","81.80","82.40","-","0.10","82.00","2","82.50","1","11.96",
"4766","南寶","236,100","185","30,360,300","131.00","131.00","128.00","128.00","-","2.50","128.00","17","128.50","3","17.37",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

