"108年06月06日每日收盤行情(生技醫療業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1598","岱宇","406,393","245","16,733,661","40.80","41.30","40.80","41.25","+","0.50","41.20","4","41.25","14","13.89",
"1701","中化","202,807","110","3,824,040","18.80","18.95","18.80","18.80"," ","0.00","18.80","102","18.85","4","16.21",
"1707","葡萄王","202,994","199","42,739,234","212.00","213.00","209.00","209.00","-","3.00","209.00","32","210.00","7","21.86",
"1720","生達","103,121","61","3,369,794","32.75","32.80","32.60","32.80","+","0.05","32.80","1","32.85","1","15.33",
"1731","美吾華","103,150","54","1,384,316","13.45","13.45","13.35","13.45"," ","0.00","13.40","7","13.45","8","20.07",
"1733","五鼎","254,000","184","8,506,150","33.45","33.80","33.30","33.80","+","0.35","33.70","3","33.80","13","33.80",
"1734","杏輝","32,282","32","624,305","19.45","19.45","19.25","19.40","-","0.10","19.35","2","19.40","3","485.00",
"1736","喬山","15,503,772","9,693","1,029,829,831","63.80","69.90","63.80","69.90","+","6.20","69.50","2","69.90","28","34.60",
"1760","寶齡富錦","840,785","692","75,215,735","90.20","91.10","88.70","89.10","-","1.30","89.00","30","89.10","3","35.36",
"1762","中化生","488,770","301","12,925,375","26.50","26.95","25.95","25.95","-","0.35","25.95","1","26.05","2","7.41",
"1783","和康生","43,000","30","1,016,900","24.00","24.00","23.55","23.55","-","0.35","23.55","4","23.70","2","29.44",
"1786","科妍","229,081","116","14,131,208","62.80","62.80","61.20","61.90"," ","0.00","61.80","1","62.00","3","44.21",
"1789","神隆","336,761","224","8,346,365","25.20","25.25","24.55","24.65","-","0.65","24.60","4","24.65","5","50.31",
"3164","景岳","48,000","25","1,245,550","26.10","26.10","25.85","25.95","-","0.25","25.85","6","26.00","37","11.85",
"3705","永信","88,015","63","3,718,981","42.20","42.35","42.20","42.20","-","0.05","42.20","7","42.25","1","16.05",
"4104","佳醫","114,591","106","5,811,720","50.70","50.90","50.50","50.70","-","0.20","50.50","26","50.70","13","13.63",
"4106","雃博","75,300","52","1,911,659","25.60","25.65","25.20","25.30","-","0.30","25.20","8","25.30","2","20.91",
"4108","懷特","125,949","89","2,334,005","18.50","18.70","18.40","18.60","+","0.10","18.50","2","18.60","1","",
"4119","旭富","893,634","573","79,716,860","89.20","89.70","89.00","89.20","-","0.50","89.20","8","89.30","1","12.89",
"4133","亞諾法","15,012","12","414,534","27.75","27.75","27.50","27.60","-","0.10","27.60","1","27.65","5","46.78",
"4137","麗豐-KY","393,693","374","101,838,575","258.00","260.50","255.50","258.50","+","3.00","258.50","5","259.00","1","15.98",
"4141","龍燈-KY","26,060","23","446,882","17.15","17.30","17.10","17.10","-","0.15","17.10","9","17.20","4","285.00",
"4142","國光生","1,140,810","514","22,270,670","19.45","19.65","19.45","19.60","+","0.10","19.60","22","19.65","38","",
"4144","康聯-KY","270,760","164","7,686,984","28.55","28.90","28.15","28.15","-","0.35","28.15","37","28.20","4","19.15",
"4148","全宇生技-KY","64,005","35","3,563,979","55.50","56.00","55.30","55.80","+","0.50","55.70","3","56.00","3","15.16",
"4155","訊映","82,000","59","2,299,550","28.05","28.15","27.95","28.15","+","0.05","28.10","1","28.15","1","14.00",
"4164","承業醫","556,073","358","21,890,976","39.85","40.00","39.05","39.05","-","1.05","39.05","10","39.30","1","14.85",
"4190","佐登-KY","1,562,320","1,319","169,683,680","107.00","109.50","107.00","109.50","+","1.00","109.00","10","109.50","25","13.79",
"4737","華廣","10,000","7","500,700","50.00","50.20","50.00","50.20","-","0.10","50.20","9","50.50","2","23.79",
"4746","台耀","92,000","65","3,427,500","37.15","37.60","37.15","37.25","-","0.20","37.20","3","37.25","9","98.03",
"6452","康友-KY","156,181","146","33,423,453","216.50","216.50","212.50","213.50","-","1.50","213.50","11","214.00","4","14.62",
"6541","泰福-KY","106,141","77","7,912,632","75.20","75.20","73.80","74.70","-","0.60","74.70","8","74.80","3","",
"6666","羅麗芬-KY","69,012","51","12,412,684","181.50","181.50","179.00","180.00"," ","0.00","180.00","1","180.50","10","17.98",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

