"108年07月26日每日收盤行情(油電燃氣業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2616","山隆","665,373","45","20,341,523","29.70","30.00","29.70","30.00"," ","0.00","29.80","15","30.00","65","17.14",
"6505","台塑化","999,672","675","106,570,904","106.50","107.00","106.00","106.50","-","0.50","106.50","436","107.00","74","19.87",
"8926","台汽電","639,606","258","17,037,108","26.70","26.70","26.55","26.70","+","0.05","26.65","12","26.70","181","18.29",
"9908","大台北","105,008","75","3,054,886","29.20","29.20","29.00","29.15"," ","0.00","29.15","2","29.20","2","20.53",
"9918","欣天然","2,002","4","67,466","33.70","33.70","33.70","33.70","+","0.20","33.35","2","33.70","3","24.60",
"9926","新海","0","0","0","--","--","--","--"," ","0.00","39.80","2","39.90","1","22.11",
"9931","欣高","2,000","2","66,900","33.45","33.45","33.45","33.45","+","0.05","33.45","6","33.50","1","17.07",
"9937","全國","439,900","163","18,912,849","43.20","43.50","42.95","43.50","+","0.30","43.20","4","43.50","2","17.76",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

