"108年05月13日每日收盤行情(半導體業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2302","麗正","350,001","144","2,907,118","8.70","8.70","8.11","8.28","-","0.46","8.21","22","8.28","1","48.71",
"2303","聯電","34,652,746","8,185","451,343,549","13.10","13.20","12.95","12.95","-","0.25","12.95","3,886","13.00","256","31.59",
"2329","華泰","5,695,722","1,560","79,787,478","14.30","14.75","13.60","13.70","-","0.45","13.65","18","13.70","11","",
"2330","台積電","29,317,535","11,974","7,374,249,589","253.00","254.00","249.50","250.50","-","5.50","250.50","224","251.00","510","18.50",
"2337","旺宏","34,774,320","9,836","779,374,895","22.20","22.70","22.05","22.45","+","0.10","22.40","256","22.45","111","5.68",
"2338","光罩","3,886,004","1,795","91,487,392","25.00","25.00","22.90","23.10","-","1.90","23.05","11","23.10","9","25.38",
"2342","茂矽","1,109,232","568","20,117,376","18.85","18.90","17.70","17.70","-","1.20","17.65","2","17.70","8","15.53",
"2344","華邦電","21,790,685","8,090","315,840,224","15.00","15.00","14.30","14.35","-","0.65","14.35","923","14.40","213","9.08",
"2351","順德","654,092","386","43,433,536","67.10","67.60","65.50","65.50","-","1.80","65.50","2","65.60","4","14.40",
"2363","矽統","3,012,162","850","24,196,805","8.02","8.16","7.98","7.98","-","0.18","7.98","49","7.99","1","",
"2369","菱生","618,844","268","5,523,351","9.02","9.10","8.80","8.85","-","0.25","8.85","3","8.90","61","",
"2379","瑞昱","5,003,378","4,267","1,093,170,026","225.00","225.00","214.50","217.50","-","8.00","217.50","45","218.00","7","25.41",
"2388","威盛","1,527,838","937","48,607,795","33.00","33.00","31.00","31.00","-","1.40","31.00","5","31.10","9","221.43",
"2401","凌陽","776,748","327","8,941,598","11.65","11.65","11.40","11.40","-","0.20","11.40","25","11.50","31","",
"2408","南亞科","15,245,100","7,573","947,788,971","63.50","64.10","61.00","61.10","-","2.70","61.10","177","61.20","539","5.19",
"2434","統懋","89,680","44","612,607","6.76","7.00","6.76","6.85","-","0.46","6.85","6","6.90","1","",
"2436","偉詮電","546,559","321","13,311,444","24.75","25.05","24.10","24.15","-","0.65","24.15","5","24.30","3","17.63",
"2441","超豐","1,153,820","796","47,196,029","41.50","41.75","40.40","41.35","-","0.15","41.25","1","41.35","1","11.27",
"2449","京元電子","6,186,399","2,872","175,881,548","28.55","28.70","28.20","28.40","-","0.40","28.40","179","28.45","49","19.06",
"2451","創見","606,371","421","41,516,274","69.20","69.20","67.80","67.80","-","1.40","67.80","8","68.00","1","14.80",
"2454","聯發科","8,021,402","5,980","2,325,871,374","300.00","300.00","285.50","286.50","-","12.00","286.50","156","287.00","29","21.85",
"2458","義隆","3,239,476","2,313","233,902,585","72.50","73.10","71.30","72.70","-","0.40","72.60","1","72.70","7","12.53",
"2481","強茂","8,280,120","3,916","196,317,850","24.60","24.75","23.10","23.30","-","1.75","23.30","138","23.35","10","10.69",
"3006","晶豪科","999,500","609","30,425,699","31.15","31.30","30.10","30.10","-","1.10","30.05","92","30.10","52","12.97",
"3014","聯陽","422,895","298","14,367,159","34.05","34.35","33.60","33.70","-","0.70","33.70","20","33.80","1","11.78",
"3016","嘉晶","2,728,238","1,893","115,213,770","43.80","43.80","41.10","41.75","-","2.20","41.75","22","41.80","7","26.59",
"3034","聯詠","7,163,618","4,804","1,445,116,100","209.00","209.00","198.00","200.00","-","11.00","200.00","17","200.50","14","16.35",
"3035","智原","1,852,605","1,327","85,501,934","47.10","47.45","45.50","45.85","-","1.05","45.65","3","45.85","1","43.25",
"3041","揚智","1,619,404","689","14,935,973","9.40","9.44","9.03","9.16","-","0.30","9.16","1","9.18","2","",
