"108年08月30日每日收盤行情(電腦及週邊設備業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2301","光寶科","11,140,221","4,898","552,147,352","49.10","50.00","49.10","50.00","+","1.10","49.95","2","50.00","616","12.89",
"2305","全友","82,698","40","486,778","5.90","5.92","5.86","5.90","+","0.04","5.86","9","5.90","101","",
"2324","仁寶","15,530,995","3,988","278,063,510","17.80","17.95","17.80","17.95","+","0.15","17.90","28","17.95","732","9.11",
"2331","精英","715,453","265","8,903,266","12.65","12.65","12.35","12.45","+","0.05","12.45","7","12.50","9","",
"2352","佳世達","15,916,608","4,418","317,368,399","19.65","20.30","19.60","20.05","+","0.65","20.00","235","20.05","213","9.46",
"2353","宏碁","10,789,379","3,903","184,554,193","16.85","17.20","16.85","17.20","+","0.45","17.15","89","17.20","850","20.24",
"2356","英業達","7,918,835","3,147","169,740,191","21.30","21.50","21.30","21.50","+","0.40","21.45","72","21.50","390","12.72",
"2357","華碩","1,099,691","720","223,220,964","201.00","204.00","201.00","204.00","+","3.50","203.50","23","204.00","93","34.52",
"2362","藍天","138,921","89","4,225,803","30.40","30.55","30.30","30.50","+","0.15","30.35","2","30.50","9","18.60",
"2364","倫飛","48,704","28","114,220","2.34","2.35","2.34","2.35","+","0.02","2.34","5","2.38","5","",
"2365","昆盈","109,866","84","870,146","7.93","7.95","7.88","7.93","+","0.09","7.92","1","7.93","9","72.09",
"2376","技嘉","4,176,526","2,195","219,879,660","53.20","53.30","52.20","52.80","+","0.20","52.70","58","52.80","17","33.00",
"2377","微星","4,773,257","2,880","404,307,225","84.50","85.80","83.70","83.80","-","0.30","83.80","43","83.90","17","14.91",
"2380","虹光","91,550","49","312,873","3.48","3.48","3.39","3.41"," ","0.00","3.41","1","3.42","6","",
"2382","廣達","6,298,091","2,854","353,449,729","55.90","56.50","55.70","56.50","+","1.00","56.30","38","56.50","40","13.65",
"2387","精元","5,350,898","2,889","201,783,988","37.65","38.40","36.95","37.30","+","0.25","37.25","2","37.30","7","35.52",
"2395","研華","861,723","658","230,303,095","268.00","270.00","265.50","267.00","+","1.50","266.50","4","267.50","25","27.22",
"2397","友通","42,300","41","3,709,669","87.20","89.00","87.10","87.10","-","0.10","86.80","9","87.50","1","15.47",
"2399","映泰","1,391,207","556","15,485,487","11.15","11.30","11.05","11.10","-","0.05","11.10","7","11.15","40","",
"2405","浩鑫","681,077","350","8,069,106","11.70","11.95","11.70","11.80","+","0.10","11.80","23","11.85","14","",
"2417","圓剛","291,378","137","3,123,616","10.75","10.85","10.65","10.65","-","0.05","10.65","82","10.70","11","106.50",
"2424","隴華","1,280","3","38,429","30.45","30.45","30.45","30.45","X","0.00","28.60","1","30.50","1","",
"2425","承啟","367,001","163","10,493,928","28.55","28.70","28.50","28.50"," ","0.00","28.50","7","28.55","1","22.44",
"2442","新美齊","5,054,109","1,370","61,652,092","12.15","12.30","12.00","12.05","-","0.05","12.05","225","12.10","28","2.91",
"2465","麗臺","131,482","90","1,484,141","11.25","11.30","11.20","11.30","+","0.15","11.30","17","11.35","14","",
"3002","歐格","121,926","57","1,305,515","10.75","10.80","10.60","10.70","+","0.05","10.70","1","10.75","10","29.72",
"3005","神基","2,302,034","1,351","109,811,409","48.30","48.70","47.35","47.35","-","0.60","47.30","69","47.35","1","12.83",
"3013","晟銘電","529,000","165","7,464,550","13.95","14.20","13.90","14.00","+","0.15","14.00","3","14.05","4","12.28",
"3017","奇鋐","21,409,168","11,689","909,082,031","43.80","43.80","41.25","42.20","-","0.85","42.10","22","42.20","60","18.67",
"3046","建碁","108,128","84","2,259,561","21.50","21.50","20.75","20.80","-","0.65","20.75","1","20.80","6","48.37",
"3057","喬鼎","199,321","79","1,427,063","7.02","7.30","7.02","7.15","+","0.06","7.15","2","7.18","3","",
"3060","銘異","302,421","222","4,214,746","13.75","14.15","13.75","13.85","+","0.25","13.85","5","13.95","4","",
"3231","緯創","25,559,238","8,034","633,879,631","24.50","24.95","24.45","24.90","+","0.60","24.85","200","24.90","1,312","12.58",
"3416","融程電","24,099","22","1,259,048","52.40","52.40","52.10","52.30","-","0.10","52.20","2","52.30","21","15.66",
"3494","誠研","138,039","56","581,474","4.26","4.26","4.19","4.24","-","0.02","4.23","6","4.24","9","",
"3515","華擎","58,103","41","3,423,907","58.50","59.30","58.50","59.10","+","0.90","58.60","7","59.10","2","16.28",
"3701","大眾控","22,206","15","305,140","13.70","14.20","13.70","14.20","X","0.00","14.20","4","14.30","20","20.29",
"3706","神達","2,815,217","1,087","77,649,268","27.45","27.60","27.40","27.60","+","0.30","27.55","6","27.60","48","10.70",
"3712","永崴投控","220,655","143","4,472,276","20.30","20.40","20.20","20.30"," ","0.00","20.25","9","20.30","1","",
"4916","事欣科","202,519","108","6,705,827","33.05","33.30","32.95","33.05","+","0.05","33.00","13","33.10","1","13.22",
"4938","和碩","12,251,691","5,750","638,177,287","50.80","52.70","50.70","52.40","+","2.20","52.30","29","52.40","114","12.57",
"5215","科嘉-KY","5,899,200","4,095","379,816,060","64.30","65.90","62.30","62.30"," ","0.00","62.30","39","62.50","1","15.38",
"5258","虹堡","277,000","151","6,927,150","24.70","25.20","24.70","24.80","+","0.10","24.80","1","24.85","1","",
"5264","鎧勝-KY","1,993,038","1,151","102,344,851","51.30","51.70","50.90","51.40","+","0.70","51.30","2","51.40","4","",
"6117","迎廣","8,560","8","118,072","13.80","13.80","13.80","13.80"," ","0.00","13.80","3","14.00","5","",
"6128","上福","26,200","18","822,780","31.45","31.45","31.30","31.40"," ","0.00","31.30","2","31.40","1","14.40",
"6166","凌華","771,577","532","37,313,820","48.80","48.90","47.80","47.80"," ","0.00","47.80","15","47.85","3","26.12",
"6172","互億","383,731","232","6,751,977","18.10","18.15","17.05","17.05","-","0.90","17.05","25","17.20","13","44.87",
"6206","飛捷","116,168","102","8,586,982","73.80","74.20","73.80","74.20","+","0.80","73.80","13","74.20","7","14.52",
"6230","超眾","8,822,761","6,900","2,310,305,794","271.00","277.00","249.00","252.50","-","15.00","252.50","3","253.00","16","29.09",
"6235","華孚","168,253","105","2,064,496","12.40","12.40","12.20","12.25","-","0.05","12.25","7","12.30","4","",
"6277","宏正","117,099","93","9,750,625","83.20","83.60","83.10","83.60","+","0.50","83.20","3","83.90","1","6.80",
"6414","樺漢","895,692","781","200,252,200","219.50","226.50","219.50","224.50","+","7.00","224.00","8","224.50","1","18.55",
"6579","研揚","47,000","34","3,558,200","76.00","77.00","75.00","75.30","+","0.40","75.30","1","75.70","1","25.70",
"6591","動力-KY","172,000","139","7,183,800","41.55","42.25","41.50","41.75","+","0.55","41.75","1","41.85","1","35.99",
"6669","緯穎","1,502,194","1,427","655,493,920","438.00","445.00","430.00","430.00"," ","0.00","430.00","41","431.00","3","13.30",
"8114","振樺電","123,804","114","13,786,244","112.00","113.00","110.00","110.00","-","2.00","110.00","21","111.00","1","13.17",
"8163","達方","4,261,690","2,869","178,290,146","40.70","42.40","40.60","41.40","+","1.15","41.35","31","41.40","10","8.20",
"8210","勤誠","1,150,852","841","83,745,583","73.50","74.30","72.00","72.20","-","0.60","72.20","3","72.30","3","10.31",
"9912","偉聯","29,496","23","260,416","8.81","8.88","8.79","8.88"," ","0.00","8.81","1","8.89","1","",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

