"108年09月25日每日收盤行情(光電業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2340","光磊","4,771,358","2,614","121,966,843","26.10","26.10","25.15","25.45","-","0.85","25.45","20","25.50","949","18.71",
"2349","錸德","3,167,176","1,026","28,514,352","9.11","9.12","8.96","8.97","-","0.14","8.97","54","8.98","21","",
"2374","佳能","543,422","214","9,155,002","16.85","16.95","16.75","16.95","+","0.15","16.95","10","17.00","86","",
"2393","億光","549,587","346","15,695,307","28.80","28.80","28.45","28.70","-","0.10","28.65","3","28.70","21","16.88",
"2406","國碩","1,740,080","658","14,669,078","8.40","8.53","8.37","8.45","+","0.05","8.45","26","8.46","14","",
"2409","友達","35,561,604","6,439","290,647,928","8.19","8.22","8.14","8.15","-","0.15","8.15","738","8.17","59","",
"2426","鼎元","604,516","352","9,674,792","16.25","16.25","15.90","15.90","-","0.35","15.90","41","15.95","1","32.45",
"2438","翔耀","2,000","2","12,240","6.10","6.14","6.10","6.14","+","0.04","6.02","2","6.15","2","",
"2448","晶電","15,246,529","6,124","367,432,696","24.50","24.50","23.95","23.95","-","0.75","23.95","43","24.00","95","",
"2466","冠西電","83,000","63","2,779,900","33.50","33.65","33.20","33.60","+","0.05","33.50","3","33.65","1","115.86",
"2486","一詮","307,887","120","2,566,832","8.43","8.44","8.30","8.44","-","0.05","8.33","3","8.44","8","",
"2489","瑞軒","8,080,575","2,831","96,988,688","11.80","12.20","11.75","12.10","+","0.55","12.05","41","12.10","166","40.33",
"2491","吉祥全","167,934","105","1,666,357","10.10","10.10","9.76","10.05"," ","0.00","10.05","1","10.10","13","",
"2499","東貝","1,979,097","556","14,368,219","7.26","7.26","7.26","7.26","-","0.80","--","0","7.26","17,168","",
"3008","大立光","510,524","620","2,149,614,140","4,175.00","4,255.00","4,170.00","4,255.00","+","15.00","4,255.00","3","4,260.00","12","21.58",
"3019","亞光","3,978,251","2,653","315,736,880","80.60","80.60","78.60","79.30","-","1.90","79.20","29","79.40","11","18.40",
