"108年05月21日每日收盤行情(通信網路業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2314","台揚","1,650,588","834","37,769,846","22.50","23.50","22.20","23.35","+","0.95","23.35","19","23.40","9","101.52",
"2321","東訊","86,601","17","168,864","1.97","1.97","1.91","1.97","+","0.02","1.97","2","2.02","10","",
"2332","友訊","6,459,789","2,082","73,796,224","11.55","11.80","11.20","11.80","+","0.30","11.75","20","11.80","105","",
"2345","智邦","4,116,013","2,769","492,021,586","117.50","122.50","116.50","122.00","+","3.50","122.00","12","122.50","55","21.25",
"2412","中華電","10,047,289","3,374","1,127,526,368","112.00","112.50","111.50","112.50","+","1.00","112.00","757","112.50","3,993","24.83",
"2419","仲琦","1,288,426","657","26,943,902","20.50","21.15","20.40","20.95","+","0.35","20.90","28","20.95","10","24.94",
"2439","美律","3,451,882","2,752","554,089,703","157.50","163.00","157.00","163.00","+","2.00","163.00","6","163.50","33","13.12",
"2444","兆勁","1,500,381","392","28,491,307","18.45","19.65","18.45","19.65","-","0.05","19.65","74","19.70","40","",
"2450","神腦","206,900","179","6,668,750","32.75","32.75","32.00","32.30","-","0.45","32.30","2","32.35","9","28.84",
"2455","全新","5,476,050","4,038","403,919,264","75.00","75.10","72.30","74.60","-","1.40","74.60","6","74.70","7","36.75",
"2485","兆赫","1,164,784","529","23,124,735","19.55","20.15","19.55","20.00","+","0.35","20.00","1","20.05","6","18.69",
"2498","宏達電","11,935,378","6,465","427,865,860","34.70","36.65","34.50","36.65","+","2.10","36.65","16","36.70","26","",
"3025","星通","210,403","129","4,258,222","19.40","20.90","19.40","20.70","+","0.55","20.65","10","20.80","5","295.71",
"3027","盛達","374,401","116","2,911,787","7.84","7.85","7.70","7.79","-","0.06","7.79","4","7.81","3","4.08",
"3045","台灣大","9,556,665","3,902","1,119,634,130","115.50","118.00","115.50","118.00","+","2.50","117.50","454","118.00","460","24.38",
"3047","訊舟","1,538,967","485","16,668,789","10.75","10.90","10.70","10.85"," ","0.00","10.85","24","10.90","16","13.91",
"3062","建漢","907,664","505","13,428,860","14.75","15.05","14.60","14.90","+","0.05","14.90","1","14.95","13","27.59",
"3311","閎暉","163,514","85","2,283,802","14.05","14.10","13.80","14.00","+","0.05","14.00","3","14.10","24","",
"3380","明泰","1,130,527","493","20,063,528","17.70","17.95","17.55","17.90","+","0.20","17.90","15","17.95","37","",
"3419","譁裕","1,159,133","637","16,709,680","14.50","14.80","14.10","14.80","+","0.25","14.80","6","14.85","57","30.83",
"3596","智易","2,719,350","2,216","219,460,462","78.10","82.40","78.10","81.90","+","3.10","81.80","26","81.90","2","15.57",
"3682","亞太電","7,088,503","1,700","52,209,755","7.21","7.48","7.18","7.42","+","0.21","7.42","118","7.43","7","",
"3694","海華","147,000","71","2,905,050","19.30","20.25","19.30","20.25","+","0.65","20.00","4","20.25","7","",
"3704","合勤控","8,699,668","4,081","191,879,626","22.45","22.45","21.45","22.40","+","0.35","22.35","5","22.40","81","",
"4904","遠傳","4,429,226","2,684","338,159,162","76.00","76.70","75.80","76.70","+","1.10","76.60","7","76.70","43","27.30",
"4906","正文","2,237,498","920","54,596,871","24.50","24.55","24.20","24.45","-","0.30","24.45","21","24.50","67","489.00",
"4977","眾達-KY","1,576,173","907","129,225,207","78.80","85.00","78.60","84.60","+","3.10","84.60","71","84.70","10","22.86",
"5388","中磊","1,080,314","832","68,874,810","62.00","64.70","62.00","64.70","+","2.20","64.60","1","64.70","17","19.03",
"6136","富爾特","40,300","30","813,029","20.00","20.30","20.00","20.20","+","0.10","20.15","5","20.20","7","28.45",
"6142","友勁","321,237","98","2,561,830","7.84","8.00","7.84","7.95","-","0.01","7.95","9","8.00","2","",
"6152","百一","323,650","92","1,472,906","4.54","4.70","4.45","4.69","+","0.15","4.58","1","4.69","16","",
"6216","居易","61,301","51","1,720,827","28.00","28.20","27.95","28.10","+","0.05","28.10","23","28.15","3","13.64",
"6285","啟碁","2,286,503","1,676","157,495,510","67.50","69.80","67.20","69.50","+","2.00","69.50","55","69.70","10","14.27",
"6416","瑞祺電通","68,200","60","4,997,359","72.20","74.10","72.20","73.90","+","1.30","73.90","1","74.00","7","14.16",
"6442","光聖","25,002","23","951,475","38.50","38.50","37.85","38.20"," ","0.00","38.20","1","38.40","6","13.13",
"6674","鋐寶科技","74,000","62","2,236,450","30.00","30.80","30.00","30.30","-","0.20","30.20","3","30.40","4","10.98",
"8011","台通","400,053","173","6,255,698","15.75","15.80","15.45","15.75","-","0.05","15.70","11","15.75","24","",
"8101","華冠","169,590","44","529,327","3.12","3.13","3.09","3.13","-","0.01","3.09","27","3.13","4","",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

