"108年07月25日每日收盤行情(電子零組件業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"1471","首利","85,307","44","363,515","4.29","4.29","4.24","4.25","-","0.05","4.25","13","4.27","2","",
"1582","信錦","167,738","142","13,121,982","78.30","78.30","78.10","78.30","+","0.10","78.20","2","78.30","5","9.99",
"2059","川湖","227,318","215","74,605,326","326.00","330.00","326.00","327.50","+","1.50","327.00","1","328.00","3","16.42",
"2308","台達電","6,178,584","3,093","929,596,600","151.50","152.00","149.50","149.50","-","2.00","149.50","400","150.00","23","20.68",
"2313","華通","36,669,449","11,970","987,601,123","26.40","27.20","26.40","27.05","+","0.70","27.05","46","27.10","342","14.47",
"2316","楠梓電","9,324,570","4,115","246,273,291","25.50","27.50","25.30","26.80","+","1.15","26.80","1","26.85","51","12.58",
"2327","國巨","3,647,992","2,627","933,045,913","256.00","258.50","253.50","258.00","+","2.50","257.50","36","258.00","45","3.40",
"2328","廣宇","7,381,116","3,394","185,729,201","24.70","25.65","24.55","25.60","+","1.10","25.55","147","25.60","91","10.94",
"2355","敬鵬","783,774","521","26,761,491","34.55","34.85","33.90","34.05","-","0.45","34.00","33","34.05","52","340.50",
"2367","燿華","15,733,669","5,474","376,927,506","23.75","24.20","23.60","24.10","+","0.75","24.05","102","24.10","130","18.40",
"2368","金像電","28,234,831","6,490","382,202,741","13.20","13.75","13.15","13.40","+","0.45","13.40","269","13.45","7","43.23",
"2375","凱美","500,287","318","21,222,662","42.80","42.80","42.25","42.50","+","0.25","42.45","21","42.50","2","2.15",
"2383","台光電","7,972,954","4,554","976,977,842","120.50","124.50","119.00","123.00","+","2.50","122.50","65","123.00","6","20.16",
"2385","群光","1,578,761","1,025","129,615,002","81.60","82.60","81.30","82.60","+","1.10","82.30","21","82.60","54","12.20",
"2392","正崴","2,305,393","1,347","80,556,844","34.85","35.40","34.65","35.30","+","0.65","35.25","6","35.30","67","14.12",
"2402","毅嘉","2,346,001","915","38,422,015","16.20","16.65","16.10","16.25","+","0.20","16.25","2","16.30","6","20.06",
"2413","環科","170,201","107","3,259,249","19.25","19.25","19.10","19.10","+","0.05","19.10","28","19.15","3","90.95",
"2415","錩新","123,432","89","2,699,352","21.95","22.00","21.80","21.80","-","0.15","21.80","5","21.90","21","22.47",
"2420","新巨","1,263,380","561","48,621,182","38.70","38.70","38.35","38.50","-","0.30","38.50","16","38.55","9","10.69",
"2421","建準","2,273,621","1,181","79,648,923","35.25","35.30","34.55","35.30","+","0.25","35.25","4","35.30","36","15.09",
"2428","興勤","157,787","124","12,848,247","81.30","81.60","81.30","81.50","+","0.20","81.30","1","81.50","19","9.20",
"2429","銘旺科","18,000","11","306,300","16.90","17.05","16.90","17.00","+","0.20","16.90","1","17.05","2","",
"2431","聯昌","329,010","132","3,634,302","11.15","11.20","10.95","10.95","-","0.15","10.95","11","11.05","1","",
"2440","太空梭","21,227","15","176,822","8.34","8.40","8.30","8.30","-","0.04","8.29","1","8.46","1","",
