"108年08月07日每日收盤行情(電子通路業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2347","聯強","3,330,329","1,601","123,524,570","37.20","37.30","37.00","37.10","-","0.10","37.05","175","37.10","23","10.25",
"2414","精技","82,310","56","1,706,428","20.70","20.80","20.65","20.75","+","0.05","20.75","5","20.80","22","12.89",
"2430","燦坤","72,000","41","1,357,750","18.75","18.90","18.75","18.75"," ","0.00","18.75","16","18.80","1","20.38",
"2459","敦吉","10,554","14","383,524","36.20","36.80","36.20","36.80","+","0.60","36.35","6","36.85","2","9.00",
"3010","華立","153,475","125","8,068,620","52.60","52.90","52.40","52.40","-","0.20","52.40","13","52.50","2","8.05",
"3028","增你強","125,102","95","2,662,394","21.15","21.35","21.15","21.20","+","0.05","21.20","26","21.30","19","11.71",
"3033","威健","202,028","133","4,024,210","19.90","20.00","19.85","19.90","+","0.05","19.90","44","19.95","9","13.45",
"3036","文曄","556,604","406","22,104,910","39.65","39.80","39.60","39.70","+","0.10","39.65","6","39.70","7","8.57",
"3048","益登","105,203","70","1,384,528","13.15","13.25","13.10","13.10"," ","0.00","13.10","73","13.15","2","13.65",
"3055","蔚華科","30,002","11","781,000","26.00","26.35","26.00","26.00"," ","0.00","26.00","6","26.20","3","27.37",
"3209","全科","107,893","80","1,942,824","17.90","18.05","17.90","18.00","+","0.10","18.00","7","18.05","4","13.04",
"3312","弘憶股","1,797,014","660","26,845,003","15.15","15.15","14.70","14.95","+","0.45","14.95","40","15.00","56","13.00",
"3528","安馳","57,082","49","2,305,107","40.35","40.40","40.35","40.40"," ","0.00","40.35","45","40.40","36","14.74",
"3702","大聯大","3,462,703","1,893","141,046,461","40.20","41.20","40.20","40.65","+","0.45","40.65","51","40.70","19","9.91",
"5434","崇越","657,151","504","56,787,257","85.90","87.20","85.30","86.80","+","1.90","86.70","9","86.80","13","10.33",
"6189","豐藝","153,307","106","4,934,180","32.05","32.50","32.05","32.15","+","0.15","32.15","6","32.25","1","10.40",
"6281","全國電","19,000","16","1,226,600","64.50","64.70","64.40","64.60","+","0.20","64.60","3","64.70","7","18.46",
"8070","長華","105,550","84","15,620,550","150.00","150.00","147.00","147.00","-","2.50","147.00","12","147.50","2","8.75",
"8072","陞泰","11,385","14","228,886","20.10","20.15","20.10","20.15","+","0.05","20.15","14","20.30","3","",
"8112","至上","1,356,081","852","37,551,608","27.40","27.80","27.40","27.70","+","0.60","27.70","9","27.75","63","7.67",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

