"108年04月30日每日收盤行情(資訊服務業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2427","三商電","186,062","71","1,931,194","10.40","10.45","10.35","10.45","+","0.05","10.45","2","10.50","49","16.59",
"2453","凌群","190,100","102","2,532,133","13.40","13.40","13.20","13.35","-","0.05","13.30","33","13.35","2","21.19",
"2468","華經","85,000","53","1,013,600","11.90","12.00","11.80","12.00","+","0.15","11.95","5","12.05","20","19.67",
"2471","資通","241,003","118","4,340,854","17.85","18.10","17.85","18.10","+","0.25","18.10","11","18.15","18","14.96",
"2480","敦陽科","684,402","478","37,810,912","55.20","56.20","54.40","56.10","+","1.00","56.00","8","56.10","21","14.76",
"3029","零壹","2,308,858","1,170","64,693,234","27.80","28.70","27.40","28.10","+","0.35","28.10","3","28.20","1","13.64",
"3130","一零四","1,091","5","186,014","170.50","170.50","170.50","170.50","+","0.50","170.00","1","171.00","1","20.06",
"4994","傳奇","65,625","55","4,420,024","67.90","67.90","66.70","66.90","+","0.60","66.70","1","66.90","6","",
"5203","訊連","84,845","70","6,349,618","74.70","75.20","74.40","75.00","+","0.30","75.00","34","75.20","4","17.99",
"6112","聚碩","53,361","57","1,907,662","35.65","35.80","35.65","35.80","+","0.15","35.75","6","35.80","7","12.52",
"6183","關貿","90,038","49","3,148,533","34.90","35.15","34.70","35.00","+","0.45","35.00","1","35.05","1","18.72",
"6214","精誠","330,773","245","22,458,864","68.00","68.00","67.70","67.90"," ","0.00","67.90","6","68.00","73","15.90",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

