"109年02月17日每日收盤行情(其他電子業)"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
"2312","金寶","6,011,387","1,237","86,285,184","14.30","14.50","14.25","14.40","-","0.10","14.40","1,233","14.45","49","26.18",
"2317","鴻海","16,771,107","10,096","1,408,020,326","84.20","84.20","83.80","83.90","-","1.00","83.90","206","84.00","372","8.94",
"2354","鴻準","1,503,804","784","91,333,144","60.80","61.10","60.60","60.60","-","0.60","60.60","92","60.70","2","9.45",
"2359","所羅門","507,143","264","10,274,334","20.30","20.35","20.20","20.25","-","0.10","20.25","15","20.30","12","8.88",
"2360","致茂","1,548,425","953","247,898,135","160.00","162.00","158.50","162.00","+","1.50","161.00","6","162.00","31","39.13",
"2373","震旦行","53,980","53","4,802,320","88.80","89.20","88.80","89.00","-","0.30","89.00","1","89.10","2","14.10",
"2390","云辰","481,865","249","4,833,718","10.00","10.10","9.98","10.05","+","0.09","10.00","120","10.05","4","",
"2404","漢唐","662,090","551","123,031,330","186.00","187.00","185.00","186.00","-","2.00","185.50","48","186.00","3","12.79",
"2423","固緯","135,393","74","3,390,963","25.10","25.25","24.90","25.25","+","0.15","25.20","1","25.25","9","11.12",
"2433","互盛電","74,180","52","3,982,074","53.80","53.90","53.50","53.60","-","0.40","53.60","2","53.90","20","12.70",
"2461","光群雷","465,044","230","7,712,575","16.60","16.80","16.45","16.55"," ","0.00","16.55","15","16.65","31","43.55",
"2464","盟立","331,323","261","11,808,828","35.85","35.85","35.55","35.60","-","0.25","35.60","12","35.70","2","8.15",
"2474","可成","4,384,259","2,619","1,082,402,214","245.50","250.00","244.00","247.00","+","1.50","246.50","21","247.00","21","12.90",
"2477","美隆電","113,853","75","2,655,896","23.15","23.65","23.15","23.30","+","0.15","23.25","2","23.30","2","14.47",
"2482","連宇","3,728,200","1,799","49,525,750","12.80","13.80","12.50","12.95","+","0.20","12.90","13","12.95","1","22.72",
"2488","漢平","404,127","283","12,124,479","30.00","30.30","29.90","29.95","-","0.55","29.95","26","30.00","17","8.14",
"2495","普安","121,021","50","1,546,517","12.75","12.80","12.75","12.80","+","0.05","12.75","6","12.80","5","11.74",
"3018","同開","3,441,829","2,033","96,877,906","28.00","29.55","27.30","27.35","-","0.20","27.35","4","27.40","2","",
"3030","德律","432,174","289","22,422,652","52.00","52.40","51.60","51.70","-","0.30","51.70","11","51.80","8","12.99",
"3043","科風","127,141","35","250,685","2.02","2.02","1.95","2.00","-","0.09","2.00","10","2.03","19","4.17",
"3305","昇貿","173,030","127","3,920,010","22.75","22.75","22.50","22.65","-","0.10","22.60","4","22.65","7","14.71",
"3450","聯鈞","13,047,146","8,547","939,547,712","73.00","73.50","71.00","72.00"," ","0.00","72.00","133","72.10","18","36.00",
"3518","柏騰","527,454","366","17,179,089","32.55","32.95","32.30","32.60","-","0.60","32.55","5","32.60","15","",
"3617","碩天","128,000","95","13,686,000","107.00","107.50","105.50","107.00","-","0.50","107.00","6","107.50","6","13.18",
"3665","貿聯-KY","1,111,464","910","235,679,559","213.00","213.00","211.00","212.50","-","2.50","212.50","27","213.00","10","13.97",
"5225","東科-KY","349,286","226","15,820,048","45.50","45.80","44.65","45.10","-","1.60","45.00","3","45.25","9","6.05",
"6139","亞翔","1,391,504","744","41,563,642","29.50","30.45","29.50","30.45","-","0.40","30.40","4","30.45","2","11.49",
"6192","巨路","152,817","117","11,180,641","73.50","73.50","72.90","72.90","-","1.20","72.90","5","73.00","4","9.36",
"6196","帆宣","2,879,625","2,136","248,358,733","84.70","86.90","84.70","86.00","+","0.80","86.00","3","86.30","10","26.38",
"6201","亞弘電","31,000","22","1,080,850","34.95","34.95","34.65","34.90","-","0.05","34.85","3","34.95","1","9.36",
"6215","和椿","107,051","105","1,461,964","13.80","13.85","13.60","13.60","-","0.35","13.60","6","13.65","8","22.67",
"6283","淳安","248,315","126","6,256,803","25.65","25.65","25.00","25.05","-","0.50","25.05","4","25.10","1","113.86",
"6409","旭隼","77,054","72","58,627,148","761.00","769.00","746.00","762.00","+","5.00","762.00","7","763.00","3","30.60",
"6558","興能高","853,494","596","49,895,846","59.00","59.40","58.00","58.20","-","1.10","58.20","22","58.30","6","25.41",
"6698","旭暉應材","509,065","410","36,993,976","71.50","73.90","70.10","73.60","+","3.00","73.40","6","73.60","9","24.29",
"8021","尖點","918,641","550","18,617,268","20.50","20.50","20.15","20.25","-","0.40","20.25","9","20.30","15","12.66",
"8201","無敵","32,212","19","292,773","9.14","9.14","9.08","9.08","-","0.05","9.08","5","9.11","2","",
"備註:"
"漲跌(+/-)欄位符號說明:+/-/X表示漲/跌/不比價。",
"當證券代號為認購(售)權證及認股權憑證時本益比欄位置為結算價；但如為以外國證券或指數為標的之認購(售)權證及履約方式採歐式者，該欄位為空白。",
"除境外指數股票型基金及外國股票第二上市外，餘交易單位皆為千股。",
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",

